"","origin","destination","weight"
"1","UKC1","UKC1",102488
"2","UKC1","UKC2",522
"3","UKC1","UKD1",308
"4","UKC1","UKD3",95
"5","UKC1","UKD4",140
"6","UKC1","UKD6",60
"7","UKC1","UKD7",30
"8","UKC1","UKE1",83
"9","UKC1","UKE2",186
"10","UKC1","UKE3",31
"11","UKC1","UKE4",1490
"12","UKC1","UKF1",210
"13","UKC1","UKF2",158
"14","UKC1","UKF3",32
"15","UKC1","UKG1",335
"16","UKC1","UKG2",42
"17","UKC1","UKG3",208
"18","UKC1","UKH1",161
"19","UKC1","UKH2",170
"20","UKC1","UKH3",1284
"21","UKC1","UKI1",2297
"22","UKC1","UKI2",1059
"23","UKC1","UKJ1",1678
"24","UKC1","UKJ2",1519
"25","UKC1","UKJ3",225
"26","UKC1","UKJ4",190
"27","UKC1","UKK1",834
"28","UKC1","UKK2",63
"29","UKC1","UKK3",215
"30","UKC1","UKK4",317
"31","UKC1","UKL1",54
"32","UKC1","UKL2",202
"33","UKC1","UKM2",525
"34","UKC1","UKM3",20
"35","UKC1","UKM5",1
"36","UKC1","UKM6",229
"37","UKC1","UKN0",291
"38","UKC2","UKC1",209
"39","UKC2","UKC2",86535
"40","UKC2","UKD1",50
"41","UKC2","UKD3",60
"42","UKC2","UKD4",150
"43","UKC2","UKD6",32
"44","UKC2","UKD7",12
"45","UKC2","UKE1",77
"46","UKC2","UKE2",21
"47","UKC2","UKE3",22
"48","UKC2","UKE4",4118
"49","UKC2","UKF1",60
"50","UKC2","UKF2",172
"51","UKC2","UKF3",26
"52","UKC2","UKG1",2808
"53","UKC2","UKG2",46
"54","UKC2","UKG3",301
"55","UKC2","UKH1",121
"56","UKC2","UKH2",159
"57","UKC2","UKH3",675
"58","UKC2","UKI1",9512
"59","UKC2","UKI2",499
"60","UKC2","UKJ1",6057
"61","UKC2","UKJ2",5103
"62","UKC2","UKJ3",166
"63","UKC2","UKJ4",151
"64","UKC2","UKK1",115
"65","UKC2","UKK2",117
"66","UKC2","UKK3",360
"67","UKC2","UKK4",685
"68","UKC2","UKL1",26
"69","UKC2","UKL2",291
"70","UKC2","UKM2",445
"71","UKC2","UKM3",52
"72","UKC2","UKM5",1
"73","UKC2","UKM6",858
"74","UKC2","UKN0",474
"75","UKD1","UKC1",212
"76","UKD1","UKC2",130
"77","UKD1","UKD1",55069
"78","UKD1","UKD3",482
"79","UKD1","UKD4",95
"80","UKD1","UKD6",32
"81","UKD1","UKD7",25
"82","UKD1","UKE1",100
"83","UKD1","UKE2",37
"84","UKD1","UKE3",1038
"85","UKD1","UKE4",1390
"86","UKD1","UKF1",2139
"87","UKD1","UKF2",31
"88","UKD1","UKF3",10
"89","UKD1","UKG1",877
"90","UKD1","UKG2",5
"91","UKD1","UKG3",19
"92","UKD1","UKH1",59
"93","UKD1","UKH2",72
"94","UKD1","UKH3",589
"95","UKD1","UKI1",4755
"96","UKD1","UKI2",71
"97","UKD1","UKJ1",5271
"98","UKD1","UKJ2",2600
"99","UKD1","UKJ3",173
"100","UKD1","UKJ4",2467
"101","UKD1","UKK1",72
"102","UKD1","UKK2",289
"103","UKD1","UKK3",96
"104","UKD1","UKK4",222
"105","UKD1","UKL1",7
"106","UKD1","UKL2",28
"107","UKD1","UKM2",153
"108","UKD1","UKM3",43
"109","UKD1","UKM5",9
"110","UKD1","UKM6",4792
"111","UKD1","UKN0",108
"112","UKD3","UKC1",270
"113","UKD3","UKC2",88
"114","UKD3","UKD1",605
"115","UKD3","UKD3",281717
"116","UKD3","UKD4",559
"117","UKD3","UKD6",2442
"118","UKD3","UKD7",29493
"119","UKD3","UKE1",153
"120","UKD3","UKE2",594
"121","UKD3","UKE3",519
"122","UKD3","UKE4",2935
"123","UKD3","UKF1",877
"124","UKD3","UKF2",223
"125","UKD3","UKF3",39
"126","UKD3","UKG1",1074
"127","UKD3","UKG2",194
"128","UKD3","UKG3",436
"129","UKD3","UKH1",5073
"130","UKD3","UKH2",781
"131","UKD3","UKH3",1825
"132","UKD3","UKI1",18759
"133","UKD3","UKI2",85003
"134","UKD3","UKJ1",4710
"135","UKD3","UKJ2",9466
"136","UKD3","UKJ3",764
"137","UKD3","UKJ4",3236
"138","UKD3","UKK1",803
"139","UKD3","UKK2",992
"140","UKD3","UKK3",771
"141","UKD3","UKK4",1047
"142","UKD3","UKL1",502
"143","UKD3","UKL2",1064
"144","UKD3","UKM2",275
"145","UKD3","UKM3",287
"146","UKD3","UKM5",119
"147","UKD3","UKM6",1698
"148","UKD3","UKN0",426
"149","UKD4","UKC1",93
