"","origin","destination","weight"
"1","UKC1","UKC1",3780
"2","UKC1","UKC2",78
"3","UKC1","UKD1",42
"4","UKC1","UKD3",63
"5","UKC1","UKD4",5
"6","UKC1","UKD6",19
"7","UKC1","UKD7",2
"8","UKC1","UKE2",161
"9","UKC1","UKE4",9
"10","UKC1","UKF1",3
"11","UKC1","UKF2",9
"12","UKC1","UKF3",2
"13","UKC1","UKG1",72
"14","UKC1","UKG2",10
"15","UKC1","UKG3",16
"16","UKC1","UKH1",16
"17","UKC1","UKH2",6
"18","UKC1","UKH3",4
"19","UKC1","UKI1",32
"20","UKC1","UKI2",35
"21","UKC1","UKJ1",32
"22","UKC1","UKJ2",41
"23","UKC1","UKJ3",15
"24","UKC1","UKJ4",65
"25","UKC1","UKK1",8
"26","UKC1","UKK2",2
"27","UKC1","UKK3",3
"28","UKC1","UKK4",1
"29","UKC1","UKL1",2
"30","UKC1","UKL2",3
"31","UKC1","UKM2",13
"32","UKC1","UKM3",2
"33","UKC1","UKM5",1
"34","UKC1","UKN0",2
"35","UKC2","UKC1",105
"36","UKC2","UKC2",6454
"37","UKC2","UKD1",64
"38","UKC2","UKD3",1999
"39","UKC2","UKD6",2
"40","UKC2","UKD7",6
"41","UKC2","UKE1",594
"42","UKC2","UKE2",14
"43","UKC2","UKE3",204
"44","UKC2","UKE4",24
"45","UKC2","UKF1",20
"46","UKC2","UKF2",89
"47","UKC2","UKF3",4
"48","UKC2","UKG1",7
"49","UKC2","UKG2",526
"50","UKC2","UKG3",5
"51","UKC2","UKH1",18
"52","UKC2","UKH2",6
"53","UKC2","UKH3",4
"54","UKC2","UKI1",575
"55","UKC2","UKI2",2042
"56","UKC2","UKJ1",58
"57","UKC2","UKJ2",28
"58","UKC2","UKJ3",48
"59","UKC2","UKJ4",4
"60","UKC2","UKK1",13
"61","UKC2","UKK2",23
"62","UKC2","UKK3",41
"63","UKC2","UKK4",1
"64","UKC2","UKL1",1
"65","UKC2","UKL2",81
"66","UKC2","UKM2",113
"67","UKC2","UKM3",58
"68","UKC2","UKM5",2
"69","UKC2","UKM6",6
"70","UKD1","UKC1",3
"71","UKD1","UKC2",54
"72","UKD1","UKD1",11792
"73","UKD1","UKD3",59
"74","UKD1","UKD4",65
"75","UKD1","UKD6",3
"76","UKD1","UKD7",4
"77","UKD1","UKE1",12
"78","UKD1","UKE2",215
"79","UKD1","UKE4",14
"80","UKD1","UKF1",52
"81","UKD1","UKF2",28
"82","UKD1","UKF3",5
"83","UKD1","UKG1",37
"84","UKD1","UKG2",4
"85","UKD1","UKG3",6
"86","UKD1","UKH1",47
"87","UKD1","UKH2",9
"88","UKD1","UKH3",36
"89","UKD1","UKI1",31
"90","UKD1","UKI2",12
"91","UKD1","UKJ1",89
"92","UKD1","UKJ2",19
"93","UKD1","UKJ3",5
"94","UKD1","UKJ4",1
"95","UKD1","UKK1",133
"96","UKD1","UKK2",26
"97","UKD1","UKK3",15
"98","UKD1","UKK4",10
"99","UKD1","UKL1",3
"100","UKD1","UKL2",9
"101","UKD1","UKM2",363
"102","UKD1","UKM3",7
"103","UKD1","UKM6",4
"104","UKD1","UKN0",5
"105","UKD3","UKC1",42
"106","UKD3","UKC2",142
"107","UKD3","UKD1",1727
"108","UKD3","UKD3",13406
"109","UKD3","UKD4",414
"110","UKD3","UKD6",682
"111","UKD3","UKD7",18
"112","UKD3","UKE1",14
"113","UKD3","UKE2",191
"114","UKD3","UKE3",80
"115","UKD3","UKE4",61
"116","UKD3","UKF1",445
"117","UKD3","UKF2",63
"118","UKD3","UKF3",120
"119","UKD3","UKG1",31
"120","UKD3","UKG2",157
"121","UKD3","UKG3",65
"122","UKD3","UKH1",73
"123","UKD3","UKH2",71
"124","UKD3","UKH3",94
"125","UKD3","UKI1",478
"126","UKD3","UKI2",369
"127","UKD3","UKJ1",65
"128","UKD3","UKJ2",158
"129","UKD3","UKJ3",429
"130","UKD3","UKJ4",66
"131","UKD3","UKK1",296
"132","UKD3","UKK2",19
"133","UKD3","UKK3",5
"134","UKD3","UKK4",64
"135","UKD3","UKL1",126
"136","UKD3","UKL2",59
"137","UKD3","UKM2",11
"138","UKD3","UKM3",585
"139","UKD3","UKM5",4
"140","UKD3","UKM6",1
"141","UKD3","UKN0",20
"142","UKD4","UKC1",51
"143","UKD4","UKC2",8
"144","UKD4","UKD1",14
"145","UKD4","UKD3",123
"146","UKD4","UKD4",13130
"147","UKD4","UKD6",157
"148","UKD4","UKD7",23
"149","UKD4","UKE1",19
"150","UKD4","UKE2",26
"151","UKD4","UKE3",20
"152","UKD4","UKE4",50
"153","UKD4","UKF1",13
"154","UKD4","UKF2",41
"155","UKD4","UKF3",372
"156","UKD4","UKG1",17
"157","UKD4","UKG2",187
"158","UKD4","UKG3",211
"159","UKD4","UKH1",49
"160","UKD4","UKH2",51
