"","origin","destination","weight"
"1","UKC1","UKC1",59
"2","UKC1","UKE2",1
"3","UKC1","UKI1",3
"4","UKC1","UKJ1",2
"5","UKC1","UKJ2",2
"6","UKC1","UKK2",1
"7","UKC1","UKM2",21
"8","UKC2","UKC1",1
"9","UKC2","UKC2",8
"10","UKC2","UKD1",24
"11","UKC2","UKE2",2
"12","UKC2","UKI1",5
"13","UKC2","UKJ1",1
"14","UKC2","UKM2",1
"15","UKD1","UKD1",35
"16","UKD1","UKD3",1
"17","UKD1","UKD4",2
"18","UKD1","UKE2",1
"19","UKD1","UKE4",2
"20","UKD1","UKG1",2
"21","UKD1","UKG2",1
"22","UKD1","UKG3",2
"23","UKD1","UKI2",1
"24","UKD1","UKK2",1
"25","UKD1","UKK4",2
"26","UKD1","UKL1",2
"27","UKD1","UKM3",1
"28","UKD1","UKM6",1
"29","UKD1","UKN0",1
"30","UKD3","UKD3",182
"31","UKD3","UKD4",3
"32","UKD3","UKE2",3
"33","UKD3","UKE4",2
"34","UKD3","UKF1",2
"35","UKD3","UKG2",2
"36","UKD3","UKG3",9
"37","UKD3","UKH3",1
"38","UKD3","UKI1",5
"39","UKD3","UKJ1",7
"40","UKD3","UKJ3",1
"41","UKD3","UKJ4",1
"42","UKD3","UKK2",3
"43","UKD4","UKD3",1
"44","UKD4","UKD4",10
"45","UKD4","UKD7",1
"46","UKD4","UKF2",1
"47","UKD4","UKI2",1
"48","UKD4","UKJ1",6
"49","UKD4","UKK1",2
"50","UKD4","UKM2",1
"51","UKD6","UKC1",3
"52","UKD6","UKD3",8
"53","UKD6","UKD6",10
"54","UKD6","UKE3",3
"55","UKD6","UKE4",2
"56","UKD6","UKF1",3
"57","UKD6","UKF3",1
"58","UKD6","UKG1",1
"59","UKD6","UKI2",2
"60","UKD6","UKJ1",4
"61","UKD6","UKJ3",1
"62","UKD6","UKK1",1
"63","UKD7","UKC1",1
"64","UKD7","UKD3",1
"65","UKD7","UKD4",2
"66","UKD7","UKD6",1
"67","UKD7","UKI1",32
"68","UKD7","UKJ1",1
"69","UKD7","UKK1",2
"70","UKE1","UKF3",1
"71","UKE1","UKI2",2
"72","UKE1","UKK1",1
"73","UKE1","UKL1",1
"74","UKE2","UKC1",1
"75","UKE2","UKD4",2
"76","UKE2","UKE2",63
"77","UKE2","UKE3",2
"78","UKE2","UKE4",22
"79","UKE2","UKF1",2
"80","UKE2","UKJ1",12
"81","UKE2","UKJ3",5
"82","UKE2","UKJ4",1
"83","UKE2","UKK1",1
"84","UKE3","UKD3",1
"85","UKE3","UKE3",9
"86","UKE3","UKI1",1
"87","UKE3","UKJ1",1
"88","UKE3","UKK2",1
"89","UKE3","UKL2",1
"90","UKE4","UKD6",8
"91","UKE4","UKE4",22
"92","UKE4","UKF2",1
"93","UKE4","UKG1",8
"94","UKE4","UKG2",1
"95","UKE4","UKG3",2
"96","UKE4","UKI2",2
"97","UKE4","UKJ1",1
"98","UKE4","UKJ3",4
"99","UKE4","UKK4",1
