"","origin","destination","weight"
"1","UKC1","UKC1",155144
"2","UKC1","UKC2",79
"3","UKC1","UKD1",17
"4","UKC1","UKD3",16
"5","UKC1","UKD4",36
"6","UKC1","UKD6",9
"7","UKC1","UKD7",78
"8","UKC1","UKE1",461
"9","UKC1","UKE2",17
"10","UKC1","UKE4",6
"11","UKC1","UKF1",5
"12","UKC1","UKF2",4
"13","UKC1","UKF3",7
"14","UKC1","UKG1",4
"15","UKC1","UKG2",4
"16","UKC1","UKG3",114
"17","UKC1","UKH1",3
"18","UKC1","UKH2",2
"19","UKC1","UKH3",1
"20","UKC1","UKI1",255
"21","UKC1","UKI2",6
"22","UKC1","UKJ1",19
"23","UKC1","UKJ2",89
"24","UKC1","UKJ3",101
"25","UKC1","UKJ4",26
"26","UKC1","UKK1",2
"27","UKC1","UKK2",37
"28","UKC1","UKK4",64
"29","UKC1","UKL1",2
"30","UKC1","UKL2",11
"31","UKC1","UKM2",23
"32","UKC1","UKM6",8
"33","UKC1","UKN0",1
"34","UKC2","UKC1",24
"35","UKC2","UKC2",16261
"36","UKC2","UKD1",34
"37","UKC2","UKD3",379
"38","UKC2","UKD4",13
"39","UKC2","UKD6",28
"40","UKC2","UKE1",4
"41","UKC2","UKE2",4
"42","UKC2","UKE4",13
"43","UKC2","UKF1",2
"44","UKC2","UKF2",14
"45","UKC2","UKF3",16
"46","UKC2","UKG1",9
"47","UKC2","UKG2",16
"48","UKC2","UKG3",168
"49","UKC2","UKH1",20
"50","UKC2","UKH2",18
"51","UKC2","UKH3",50
"52","UKC2","UKI1",24
"53","UKC2","UKI2",56
"54","UKC2","UKJ1",47
"55","UKC2","UKJ2",112
"56","UKC2","UKJ3",25
"57","UKC2","UKJ4",8
"58","UKC2","UKK1",26
"59","UKC2","UKK2",15
"60","UKC2","UKK3",6
"61","UKC2","UKK4",19
"62","UKC2","UKL1",189
"63","UKC2","UKL2",8
"64","UKC2","UKM2",577
"65","UKC2","UKM3",17
"66","UKC2","UKM5",3
"67","UKC2","UKM6",6
"68","UKD1","UKC1",24
"69","UKD1","UKC2",46
"70","UKD1","UKD1",4946
"71","UKD1","UKD3",195
"72","UKD1","UKD4",101
"73","UKD1","UKD6",17
"74","UKD1","UKD7",12
"75","UKD1","UKE1",24
"76","UKD1","UKE2",7
"77","UKD1","UKE4",6
"78","UKD1","UKF1",52
"79","UKD1","UKF2",26
"80","UKD1","UKF3",8
"81","UKD1","UKG1",48
"82","UKD1","UKG2",10
"83","UKD1","UKG3",4
"84","UKD1","UKH1",3675
"85","UKD1","UKH2",11
"86","UKD1","UKH3",25
"87","UKD1","UKI1",331
"88","UKD1","UKI2",234
"89","UKD1","UKJ1",13
"90","UKD1","UKJ2",33
"91","UKD1","UKJ3",80
"92","UKD1","UKJ4",3
"93","UKD1","UKK1",23
"94","UKD1","UKK2",15
"95","UKD1","UKK3",1
"96","UKD1","UKK4",57
"97","UKD1","UKL1",10
"98","UKD1","UKL2",2
"99","UKD1","UKM2",22
"100","UKD1","UKM3",32
"101","UKD1","UKM5",1
"102","UKD1","UKM6",27
"103","UKD3","UKC1",211
"104","UKD3","UKC2",112
"105","UKD3","UKD1",1402
"106","UKD3","UKD3",25900
"107","UKD3","UKD4",194
"108","UKD3","UKD6",133
"109","UKD3","UKD7",116
"110","UKD3","UKE1",5
"111","UKD3","UKE2",37
"112","UKD3","UKE3",43
"113","UKD3","UKE4",336
"114","UKD3","UKF1",172
"115","UKD3","UKF2",140
"116","UKD3","UKF3",5
"117","UKD3","UKG1",1467
"118","UKD3","UKG2",182
"119","UKD3","UKG3",469
"120","UKD3","UKH1",258
"121","UKD3","UKH2",65
"122","UKD3","UKH3",4555
"123","UKD3","UKI1",987
"124","UKD3","UKI2",166
"125","UKD3","UKJ1",435
"126","UKD3","UKJ2",964
"127","UKD3","UKJ3",108
"128","UKD3","UKJ4",42
"129","UKD3","UKK1",6791
"130","UKD3","UKK2",146
"131","UKD3","UKK3",4
"132","UKD3","UKK4",13
"133","UKD3","UKL1",63
"134","UKD3","UKL2",69
"135","UKD3","UKM2",391
"136","UKD3","UKM3",363
"137","UKD3","UKM5",7
"138","UKD3","UKM6",4
"139","UKD3","UKN0",20
"140","UKD4","UKC1",46
"141","UKD4","UKC2",21
"142","UKD4","UKD1",88
"143","UKD4","UKD3",6802
"144","UKD4","UKD4",26616
"145","UKD4","UKD6",21
"146","UKD4","UKD7",7
