"","origin","destination","weight"
"1","UKC1","UKC1",34023
"2","UKC1","UKC2",937
"3","UKC1","UKD1",12
"4","UKC1","UKD3",54
"5","UKC1","UKD4",134
"6","UKC1","UKD6",2
"7","UKC1","UKD7",1
"8","UKC1","UKE1",4
"9","UKC1","UKE2",132
"10","UKC1","UKE3",12
"11","UKC1","UKE4",15
"12","UKC1","UKF1",64
"13","UKC1","UKF2",1
"14","UKC1","UKF3",2
"15","UKC1","UKG1",45
"16","UKC1","UKG3",55
"17","UKC1","UKH1",245
"18","UKC1","UKH2",73
"19","UKC1","UKH3",71
"20","UKC1","UKI1",215
"21","UKC1","UKI2",135
"22","UKC1","UKJ1",28
"23","UKC1","UKJ2",16
"24","UKC1","UKJ3",10
"25","UKC1","UKJ4",15
"26","UKC1","UKK1",27
"27","UKC1","UKK2",762
"28","UKC1","UKK3",22
"29","UKC1","UKK4",22
"30","UKC1","UKL1",8
"31","UKC1","UKL2",10
"32","UKC1","UKM2",80
"33","UKC1","UKM3",7
"34","UKC1","UKM6",15
"35","UKC1","UKN0",11
"36","UKC2","UKC1",220
"37","UKC2","UKC2",26986
"38","UKC2","UKD1",270
"39","UKC2","UKD3",231
"40","UKC2","UKD4",41
"41","UKC2","UKD6",11
"42","UKC2","UKE2",393
"43","UKC2","UKE3",13
"44","UKC2","UKE4",11
"45","UKC2","UKF1",132
"46","UKC2","UKF2",37
"47","UKC2","UKF3",58
"48","UKC2","UKG1",3
"49","UKC2","UKG2",20
"50","UKC2","UKG3",26
"51","UKC2","UKH1",128
"52","UKC2","UKH2",26
"53","UKC2","UKH3",64
"54","UKC2","UKI1",1158
"55","UKC2","UKI2",101
"56","UKC2","UKJ1",122
"57","UKC2","UKJ2",640
"58","UKC2","UKJ3",51
"59","UKC2","UKJ4",12
"60","UKC2","UKK1",42
"61","UKC2","UKK2",18
"62","UKC2","UKK3",1
"63","UKC2","UKK4",31
"64","UKC2","UKL1",116
"65","UKC2","UKL2",18
"66","UKC2","UKM2",31
"67","UKC2","UKM3",3
"68","UKC2","UKM6",3
"69","UKC2","UKN0",1
"70","UKD1","UKC1",2
"71","UKD1","UKC2",336
"72","UKD1","UKD1",20664
"73","UKD1","UKD3",133
"74","UKD1","UKD4",72
"75","UKD1","UKD6",1
"76","UKD1","UKD7",1
"77","UKD1","UKE1",3
"78","UKD1","UKE2",8
"79","UKD1","UKE3",10
"80","UKD1","UKE4",12
"81","UKD1","UKF1",32
"82","UKD1","UKF2",10
"83","UKD1","UKF3",2
"84","UKD1","UKG1",13
"85","UKD1","UKG2",15
"86","UKD1","UKG3",5
"87","UKD1","UKH1",44
"88","UKD1","UKH2",17
"89","UKD1","UKH3",17
"90","UKD1","UKI1",4618
"91","UKD1","UKI2",41
"92","UKD1","UKJ1",160
"93","UKD1","UKJ2",48
"94","UKD1","UKJ3",29
"95","UKD1","UKJ4",24
"96","UKD1","UKK1",34
"97","UKD1","UKK2",65
"98","UKD1","UKK3",5
"99","UKD1","UKK4",4
"100","UKD1","UKL1",15
"101","UKD1","UKL2",40
"102","UKD1","UKM2",33
"103","UKD1","UKM3",5
"104","UKD1","UKM6",7
"105","UKD1","UKN0",15
"106","UKD3","UKC1",348
"107","UKD3","UKC2",94
"108","UKD3","UKD1",26
"109","UKD3","UKD3",110877
"110","UKD3","UKD4",113
"111","UKD3","UKD6",136
"112","UKD3","UKD7",11
"113","UKD3","UKE1",27
"114","UKD3","UKE2",17
"115","UKD3","UKE3",53
"116","UKD3","UKE4",16
"117","UKD3","UKF1",201
"118","UKD3","UKF2",66
"119","UKD3","UKF3",24
"120","UKD3","UKG1",141
"121","UKD3","UKG2",39
"122","UKD3","UKG3",49
"123","UKD3","UKH1",62
"124","UKD3","UKH2",119
"125","UKD3","UKH3",23829
"126","UKD3","UKI1",1565
"127","UKD3","UKI2",312
"128","UKD3","UKJ1",187
"129","UKD3","UKJ2",475
"130","UKD3","UKJ3",515
"131","UKD3","UKJ4",55
"132","UKD3","UKK1",2382
"133","UKD3","UKK2",69
"134","UKD3","UKK3",24
"135","UKD3","UKK4",85
"136","UKD3","UKL1",48
"137","UKD3","UKL2",149
"138","UKD3","UKM2",63
"139","UKD3","UKM3",149
"140","UKD3","UKM5",9
"141","UKD3","UKM6",18
"142","UKD3","UKN0",14
"143","UKD4","UKC1",492
"144","UKD4","UKC2",17
"145","UKD4","UKD1",87
"146","UKD4","UKD3",345
"147","UKD4","UKD4",66077
"148","UKD4","UKD6",592
"149","UKD4","UKD7",11
"150","UKD4","UKE1",3
"151","UKD4","UKE2",51
"152","UKD4","UKE3",48
"153","UKD4","UKE4",72
"154","UKD4","UKF1",47
"155","UKD4","UKF2",36
"156","UKD4","UKF3",20
"157","UKD4","UKG1",52
"158","UKD4","UKG2",48
"159","UKD4","UKG3",10
"160","UKD4","UKH1",96
"161","UKD4","UKH2",128
"162","UKD4","UKH3",52
"163","UKD4","UKI1",216
"164","UKD4","UKI2",89
"165","UKD4","UKJ1",3945
"166","UKD4","UKJ2",683
"167","UKD4","UKJ3",41
"168","UKD4","UKJ4",20
"169","UKD4","UKK1",53
"170","UKD4","UKK2",66
"171","UKD4","UKK3",1
"172","UKD4","UKK4",63
"173","UKD4","UKL1",55
"174","UKD4","UKL2",48
"175","UKD4","UKM2",53
"176","UKD4","UKM3",62
"177","UKD4","UKM5",18
"178","UKD4","UKM6",15
"179","UKD4","UKN0",34
"180","UKD6","UKC1",7
"181","UKD6","UKC2",12
"182","UKD6","UKD1",9
"183","UKD6","UKD3",190
"184","UKD6","UKD4",60
"185","UKD6","UKD6",31236
"186","UKD6","UKD7",22
"187","UKD6","UKE1",6
"188","UKD6","UKE2",101
"189","UKD6","UKE3",8
"190","UKD6","UKE4",3
"191","UKD6","UKF1",67
"192","UKD6","UKF2",31
"193","UKD6","UKF3",26
"194","UKD6","UKG1",10
"195","UKD6","UKG2",86
"196","UKD6","UKG3",25
"197","UKD6","UKH1",113
"198","UKD6","UKH2",915
"199","UKD6","UKH3",43
"200","UKD6","UKI1",254
"201","UKD6","UKI2",49
"202","UKD6","UKJ1",121
"203","UKD6","UKJ2",880
"204","UKD6","UKJ3",32
"205","UKD6","UKJ4",9
"206","UKD6","UKK1",11
"207","UKD6","UKK2",23
"208","UKD6","UKK3",3
"209","UKD6","UKK4",37
"210","UKD6","UKL1",7
"211","UKD6","UKL2",175
"212","UKD6","UKM2",54
"213","UKD6","UKM3",131
"214","UKD6","UKM6",4
"215","UKD6","UKN0",13
"216","UKD7","UKD3",79
"217","UKD7","UKD6",131
"218","UKD7","UKD7",4192
"219","UKD7","UKE2",2
"220","UKD7","UKF1",2
"221","UKD7","UKF2",7
"222","UKD7","UKG1",2
"223","UKD7","UKG3",24
"224","UKD7","UKH2",1
"225","UKD7","UKH3",2
"226","UKD7","UKI1",12
"227","UKD7","UKI2",12
"228","UKD7","UKJ1",33
"229","UKD7","UKJ2",1
"230","UKD7","UKJ3",7
"231","UKD7","UKK1",5
"232","UKD7","UKK2",1
"233","UKD7","UKK4",8
"234","UKD7","UKL1",4
"235","UKD7","UKL2",23
"236","UKD7","UKM2",14
"237","UKE1","UKC1",196
"238","UKE1","UKD3",41
"239","UKE1","UKD6",3
"240","UKE1","UKE1",12013
"241","UKE1","UKE2",13
"242","UKE1","UKE3",5
"243","UKE1","UKE4",20
"244","UKE1","UKF1",100
"245","UKE1","UKF2",6
"246","UKE1","UKF3",7
"247","UKE1","UKG1",86
"248","UKE1","UKG2",11
"249","UKE1","UKG3",6
"250","UKE1","UKH1",28
"251","UKE1","UKH2",2
"252","UKE1","UKH3",16
"253","UKE1","UKI1",59
"254","UKE1","UKI2",15
"255","UKE1","UKJ1",10
"256","UKE1","UKJ2",86
"257","UKE1","UKJ3",5
"258","UKE1","UKJ4",21
"259","UKE1","UKK1",18
"260","UKE1","UKK2",24
"261","UKE1","UKK3",4
"262","UKE1","UKK4",4
"263","UKE1","UKL1",33
"264","UKE1","UKL2",15
"265","UKE1","UKM2",24
"266","UKE1","UKM3",154
"267","UKE1","UKM6",12
"268","UKE1","UKN0",3
"269","UKE2","UKC1",751
"270","UKE2","UKC2",9
"271","UKE2","UKD1",14
"272","UKE2","UKD3",46
"273","UKE2","UKD4",161
"274","UKE2","UKD6",139
"275","UKE2","UKE1",7
"276","UKE2","UKE2",33475
"277","UKE2","UKE3",7
"278","UKE2","UKE4",255
"279","UKE2","UKF1",49
"280","UKE2","UKF2",43
"281","UKE2","UKF3",11
"282","UKE2","UKG1",4
"283","UKE2","UKG2",26
"284","UKE2","UKG3",46
"285","UKE2","UKH1",80
"286","UKE2","UKH2",17
"287","UKE2","UKH3",79
"288","UKE2","UKI1",2015
"289","UKE2","UKI2",35
"290","UKE2","UKJ1",59
"291","UKE2","UKJ2",347
