"","origin","destination","weight"
"1","UKC1","UKC1",130
"2","UKC1","UKC2",14
"3","UKC1","UKD1",3
"4","UKC1","UKD3",2
"5","UKC1","UKD4",4
"6","UKC1","UKD6",4
"7","UKC1","UKD7",1
"8","UKC1","UKE1",3
"9","UKC1","UKE2",17
"10","UKC1","UKE3",6
"11","UKC1","UKE4",4
"12","UKC1","UKF1",4
"13","UKC1","UKF2",3
"14","UKC1","UKF3",2
"15","UKC1","UKG1",5
"16","UKC1","UKG2",6
"17","UKC1","UKG3",4
"18","UKC1","UKH1",9
"19","UKC1","UKH2",3
"20","UKC1","UKH3",2
"21","UKC1","UKI1",18
"22","UKC1","UKI2",9
"23","UKC1","UKJ1",11
"24","UKC1","UKJ2",13
"25","UKC1","UKJ3",2
"26","UKC1","UKJ4",3
"27","UKC1","UKK1",4
"28","UKC1","UKK2",7
"29","UKC1","UKK3",1
"30","UKC1","UKK4",1
"31","UKC1","UKL1",2
"32","UKC1","UKL2",4
"33","UKC1","UKM2",7
"34","UKC1","UKM3",3
"35","UKC1","UKM5",1
"36","UKC1","UKM6",3
"37","UKC2","UKC1",18
"38","UKC2","UKC2",191
"39","UKC2","UKD1",9
"40","UKC2","UKD3",15
"41","UKC2","UKD4",11
"42","UKC2","UKD6",6
"43","UKC2","UKD7",3
"44","UKC2","UKE2",7
"45","UKC2","UKE3",6
"46","UKC2","UKE4",5
"47","UKC2","UKF1",13
"48","UKC2","UKF2",11
"49","UKC2","UKF3",6
"50","UKC2","UKG1",8
"51","UKC2","UKG2",6
"52","UKC2","UKG3",5
"53","UKC2","UKH1",14
"54","UKC2","UKH2",10
"55","UKC2","UKH3",4
"56","UKC2","UKI1",27
"57","UKC2","UKI2",8
"58","UKC2","UKJ1",20
"59","UKC2","UKJ2",15
"60","UKC2","UKJ3",10
"61","UKC2","UKJ4",8
"62","UKC2","UKK1",8
"63","UKC2","UKK2",10
"64","UKC2","UKK3",5
"65","UKC2","UKK4",8
"66","UKC2","UKL1",11
"67","UKC2","UKL2",9
"68","UKC2","UKM2",15
"69","UKC2","UKM3",6
"70","UKC2","UKM5",2
"71","UKC2","UKM6",5
"72","UKC2","UKN0",4
"73","UKD1","UKC1",5
"74","UKD1","UKC2",9
"75","UKD1","UKD1",390
"76","UKD1","UKD3",3
"77","UKD1","UKD4",33
"78","UKD1","UKD6",2
"79","UKD1","UKD7",2
"80","UKD1","UKE1",2
"81","UKD1","UKE2",3
"82","UKD1","UKE3",2
"83","UKD1","UKE4",6
"84","UKD1","UKF1",7
"85","UKD1","UKF2",4
"86","UKD1","UKF3",2
"87","UKD1","UKG1",3
"88","UKD1","UKG2",3
"89","UKD1","UKG3",8
"90","UKD1","UKH1",5
"91","UKD1","UKH2",2
"92","UKD1","UKH3",2
"93","UKD1","UKI1",16
"94","UKD1","UKI2",13
"95","UKD1","UKJ1",8
"96","UKD1","UKJ2",10
"97","UKD1","UKJ3",6
"98","UKD1","UKJ4",4
"99","UKD1","UKK1",4
"100","UKD1","UKK2",5
"101","UKD1","UKK3",2
"102","UKD1","UKK4",11
"103","UKD1","UKL1",5
"104","UKD1","UKL2",3
"105","UKD1","UKM2",83
"106","UKD1","UKM3",8
"107","UKD1","UKM5",1
"108","UKD1","UKM6",14
"109","UKD1","UKN0",3
"110","UKD3","UKC1",6
"111","UKD3","UKC2",13
"112","UKD3","UKD1",26
"113","UKD3","UKD3",511
"114","UKD3","UKD4",43
"115","UKD3","UKD6",41
"116","UKD3","UKD7",10
"117","UKD3","UKE1",7
"118","UKD3","UKE2",17
"119","UKD3","UKE3",7
"120","UKD3","UKE4",15
"121","UKD3","UKF1",25
"122","UKD3","UKF2",18
"123","UKD3","UKF3",6
"124","UKD3","UKG1",21
"125","UKD3","UKG2",22
"126","UKD3","UKG3",17
"127","UKD3","UKH1",22
"128","UKD3","UKH2",29
"129","UKD3","UKH3",21
"130","UKD3","UKI1",89
"131","UKD3","UKI2",49
"132","UKD3","UKJ1",34
"133","UKD3","UKJ2",52
"134","UKD3","UKJ3",24
