"","origin","destination","weight"
"1","UKC1","UKC1",126
"2","UKC1","UKC2",21
"3","UKC1","UKD1",4
"4","UKC1","UKD3",4
"5","UKC1","UKD4",3
"6","UKC1","UKD6",5
"7","UKC1","UKE2",6
"8","UKC1","UKE3",4
"9","UKC1","UKE4",6
"10","UKC1","UKF1",4
"11","UKC1","UKF2",4
"12","UKC1","UKF3",2
"13","UKC1","UKG1",3
"14","UKC1","UKG2",4
"15","UKC1","UKG3",7
"16","UKC1","UKH1",4
"17","UKC1","UKH2",2
"18","UKC1","UKH3",3
"19","UKC1","UKI1",11
"20","UKC1","UKI2",7
"21","UKC1","UKJ1",7
"22","UKC1","UKJ2",8
"23","UKC1","UKJ3",6
"24","UKC1","UKJ4",2
"25","UKC1","UKK1",7
"26","UKC1","UKK2",5
"27","UKC1","UKK3",1
"28","UKC1","UKK4",3
"29","UKC1","UKL1",1
"30","UKC1","UKL2",2
"31","UKC1","UKM2",1
"32","UKC1","UKM3",3
"33","UKC1","UKM5",2
"34","UKC2","UKC1",8
"35","UKC2","UKC2",152
"36","UKC2","UKD1",8
"37","UKC2","UKD3",10
"38","UKC2","UKD4",7
"39","UKC2","UKD6",4
"40","UKC2","UKD7",2
"41","UKC2","UKE1",3
"42","UKC2","UKE2",5
"43","UKC2","UKE3",4
"44","UKC2","UKE4",6
"45","UKC2","UKF1",7
"46","UKC2","UKF2",6
"47","UKC2","UKF3",7
"48","UKC2","UKG1",6
"49","UKC2","UKG2",7
"50","UKC2","UKG3",8
"51","UKC2","UKH1",6
"52","UKC2","UKH2",9
"53","UKC2","UKH3",6
"54","UKC2","UKI1",27
"55","UKC2","UKI2",18
"56","UKC2","UKJ1",12
"57","UKC2","UKJ2",13
"58","UKC2","UKJ3",10
"59","UKC2","UKJ4",6
"60","UKC2","UKK1",8
"61","UKC2","UKK2",2
"62","UKC2","UKK3",1
"63","UKC2","UKK4",1
"64","UKC2","UKL1",6
"65","UKC2","UKL2",1
"66","UKC2","UKM2",13
"67","UKC2","UKM3",8
"68","UKC2","UKM5",1
"69","UKC2","UKM6",2
"70","UKC2","UKN0",3
"71","UKD1","UKC1",2
"72","UKD1","UKC2",6
"73","UKD1","UKD1",306
"74","UKD1","UKD3",3
"75","UKD1","UKD4",15
"76","UKD1","UKD6",3
"77","UKD1","UKD7",3
"78","UKD1","UKE1",1
"79","UKD1","UKE2",10
"80","UKD1","UKE4",4
"81","UKD1","UKF1",5
"82","UKD1","UKF2",3
"83","UKD1","UKF3",1
"84","UKD1","UKG1",7
"85","UKD1","UKG2",2
"86","UKD1","UKG3",3
"87","UKD1","UKH1",5
"88","UKD1","UKH2",4
"89","UKD1","UKH3",1
"90","UKD1","UKI1",11
"91","UKD1","UKI2",8
"92","UKD1","UKJ1",21
"93","UKD1","UKJ2",5
"94","UKD1","UKJ3",5
"95","UKD1","UKJ4",3
"96","UKD1","UKK1",14
"97","UKD1","UKK2",3
"98","UKD1","UKK3",3
"99","UKD1","UKK4",6
"100","UKD1","UKL1",2
"101","UKD1","UKL2",3
"102","UKD1","UKM2",20
