"","origin","destination","weight"
"1","UKC1","UKC1",17957
"2","UKC1","UKC2",894
"3","UKC1","UKD1",12
"4","UKC1","UKD3",51
"5","UKC1","UKD4",134
"6","UKC1","UKD6",1
"7","UKC1","UKD7",1
"8","UKC1","UKE1",4
"9","UKC1","UKE2",131
"10","UKC1","UKE3",12
"11","UKC1","UKE4",15
"12","UKC1","UKF1",48
"13","UKC1","UKF2",1
"14","UKC1","UKF3",2
"15","UKC1","UKG1",45
"16","UKC1","UKG3",47
"17","UKC1","UKH1",49
"18","UKC1","UKH2",70
"19","UKC1","UKH3",71
"20","UKC1","UKI1",174
"21","UKC1","UKI2",135
"22","UKC1","UKJ1",28
"23","UKC1","UKJ2",16
"24","UKC1","UKJ3",9
"25","UKC1","UKJ4",15
"26","UKC1","UKK1",23
"27","UKC1","UKK2",32
"28","UKC1","UKK3",22
"29","UKC1","UKK4",22
"30","UKC1","UKL1",8
"31","UKC1","UKL2",9
"32","UKC1","UKM2",74
"33","UKC1","UKM3",7
"34","UKC1","UKM6",15
"35","UKC1","UKN0",11
"36","UKC2","UKC1",125
"37","UKC2","UKC2",21311
"38","UKC2","UKD1",270
"39","UKC2","UKD3",124
"40","UKC2","UKD4",41
"41","UKC2","UKD6",11
"42","UKC2","UKE2",385
"43","UKC2","UKE3",5
"44","UKC2","UKE4",7
"45","UKC2","UKF1",130
"46","UKC2","UKF2",37
"47","UKC2","UKF3",33
"48","UKC2","UKG1",3
"49","UKC2","UKG2",20
"50","UKC2","UKG3",23
"51","UKC2","UKH1",127
"52","UKC2","UKH2",19
"53","UKC2","UKH3",55
"54","UKC2","UKI1",1153
"55","UKC2","UKI2",93
"56","UKC2","UKJ1",121
"57","UKC2","UKJ2",212
"58","UKC2","UKJ3",51
"59","UKC2","UKJ4",11
"60","UKC2","UKK1",39
"61","UKC2","UKK2",18
"62","UKC2","UKK3",1
"63","UKC2","UKK4",31
"64","UKC2","UKL1",116
"65","UKC2","UKL2",17
"66","UKC2","UKM2",31
"67","UKC2","UKM3",3
"68","UKC2","UKM6",2
"69","UKC2","UKN0",1
"70","UKD1","UKC1",2
"71","UKD1","UKC2",326
"72","UKD1","UKD1",12558
"73","UKD1","UKD3",132
"74","UKD1","UKD4",57
"75","UKD1","UKD6",1
"76","UKD1","UKD7",1
"77","UKD1","UKE1",3
"78","UKD1","UKE2",8
"79","UKD1","UKE4",8
"80","UKD1","UKF1",30
"81","UKD1","UKF2",10
"82","UKD1","UKF3",2
"83","UKD1","UKG1",12
"84","UKD1","UKG2",15
"85","UKD1","UKG3",5
"86","UKD1","UKH1",42
"87","UKD1","UKH2",6
"88","UKD1","UKH3",16
"89","UKD1","UKI1",21
"90","UKD1","UKI2",8
"91","UKD1","UKJ1",156
"92","UKD1","UKJ2",47
"93","UKD1","UKJ3",19
"94","UKD1","UKJ4",24
"95","UKD1","UKK1",23
"96","UKD1","UKK2",64
"97","UKD1","UKK4",4
"98","UKD1","UKL1",15
"99","UKD1","UKL2",40
"100","UKD1","UKM2",31
"101","UKD1","UKM3",4
"102","UKD1","UKM6",7
"103","UKD1","UKN0",15
"104","UKD3","UKC1",343
"105","UKD3","UKC2",14
"106","UKD3","UKD1",24
"107","UKD3","UKD3",11257
"108","UKD3","UKD4",75
"109","UKD3","UKD6",85
"110","UKD3","UKD7",11
"111","UKD3","UKE1",21
"112","UKD3","UKE2",16
"113","UKD3","UKE3",54
"114","UKD3","UKE4",15
"115","UKD3","UKF1",111
"116","UKD3","UKF2",60
"117","UKD3","UKF3",21
"118","UKD3","UKG1",136
"119","UKD3","UKG2",38
"120","UKD3","UKG3",37
"121","UKD3","UKH1",38
"122","UKD3","UKH2",74
"123","UKD3","UKH3",23508
"124","UKD3","UKI1",691
"125","UKD3","UKI2",309
"126","UKD3","UKJ1",157
"127","UKD3","UKJ2",213
"128","UKD3","UKJ3",493
"129","UKD3","UKJ4",31
"130","UKD3","UKK1",2311
"131","UKD3","UKK2",49
"132","UKD3","UKK3",9
"133","UKD3","UKK4",38
"134","UKD3","UKL1",14
"135","UKD3","UKL2",92
"136","UKD3","UKM2",29
"137","UKD3","UKM3",77
"138","UKD3","UKM5",9
"139","UKD3","UKM6",2
"140","UKD3","UKN0",10
"141","UKD4","UKC1",477
"142","UKD4","UKC2",17
"143","UKD4","UKD1",78
"144","UKD4","UKD3",156
"145","UKD4","UKD4",36350
"146","UKD4","UKD6",563
"147","UKD4","UKD7",11
"148","UKD4","UKE1",2
"149","UKD4","UKE2",51
"150","UKD4","UKE3",47
"151","UKD4","UKE4",72
"152","UKD4","UKF1",39
"153","UKD4","UKF2",36
"154","UKD4","UKF3",16
"155","UKD4","UKG1",47
"156","UKD4","UKG2",47
"157","UKD4","UKG3",6
"158","UKD4","UKH1",46
"159","UKD4","UKH2",125
"160","UKD4","UKH3",48
"161","UKD4","UKI1",72
"162","UKD4","UKI2",67
"163","UKD4","UKJ1",3902
"164","UKD4","UKJ2",565
"165","UKD4","UKJ3",36
"166","UKD4","UKJ4",20
"167","UKD4","UKK1",47
"168","UKD4","UKK2",65
"169","UKD4","UKK4",52
"170","UKD4","UKL1",24
"171","UKD4","UKL2",42
"172","UKD4","UKM2",34
"173","UKD4","UKM3",59
"174","UKD4","UKM5",18
"175","UKD4","UKM6",12
"176","UKD4","UKN0",30
"177","UKD6","UKC1",2
"178","UKD6","UKC2",12
"179","UKD6","UKD1",9
"180","UKD6","UKD3",120
"181","UKD6","UKD4",56
"182","UKD6","UKD6",4493
"183","UKD6","UKD7",21
"184","UKD6","UKE1",6
"185","UKD6","UKE2",83
"186","UKD6","UKE3",8
"187","UKD6","UKE4",2
"188","UKD6","UKF1",26
"189","UKD6","UKF2",31
"190","UKD6","UKF3",20
"191","UKD6","UKG1",9
"192","UKD6","UKG2",85
"193","UKD6","UKG3",10
"194","UKD6","UKH1",113
"195","UKD6","UKH2",912
"196","UKD6","UKH3",43
"197","UKD6","UKI1",173
"198","UKD6","UKI2",47
"199","UKD6","UKJ1",118
"200","UKD6","UKJ2",777
"201","UKD6","UKJ3",26
"202","UKD6","UKJ4",9
"203","UKD6","UKK1",11
"204","UKD6","UKK2",22
"205","UKD6","UKK3",3
"206","UKD6","UKK4",29
"207","UKD6","UKL1",7
"208","UKD6","UKL2",175
"209","UKD6","UKM2",53
"210","UKD6","UKM3",131
"211","UKD6","UKM6",1
"212","UKD6","UKN0",12
"213","UKD7","UKD3",79
"214","UKD7","UKD6",67
"215","UKD7","UKD7",29
"216","UKD7","UKE2",2
"217","UKD7","UKF2",7
"218","UKD7","UKG1",2
"219","UKD7","UKH2",1
"220","UKD7","UKH3",2
"221","UKD7","UKI1",12
"222","UKD7","UKI2",12
"223","UKD7","UKJ1",33
"224","UKD7","UKJ2",1
"225","UKD7","UKJ3",7
"226","UKD7","UKK1",5
"227","UKD7","UKK4",8
"228","UKD7","UKL1",4
"229","UKD7","UKL2",19
"230","UKD7","UKM2",14
"231","UKE1","UKC1",196
"232","UKE1","UKD3",31
"233","UKE1","UKE1",1330
"234","UKE1","UKE2",5
"235","UKE1","UKE3",2
"236","UKE1","UKE4",16
"237","UKE1","UKF1",97
"238","UKE1","UKF2",6
"239","UKE1","UKF3",4
"240","UKE1","UKG1",79
"241","UKE1","UKG2",11
"242","UKE1","UKG3",1
"243","UKE1","UKH1",2
"244","UKE1","UKH2",2
"245","UKE1","UKH3",11
"246","UKE1","UKI1",47
"247","UKE1","UKI2",15
"248","UKE1","UKJ1",10
"249","UKE1","UKJ2",83
"250","UKE1","UKJ3",3
"251","UKE1","UKJ4",21
"252","UKE1","UKK1",14
"253","UKE1","UKK2",24
"254","UKE1","UKK3",4
"255","UKE1","UKK4",4
"256","UKE1","UKL1",33
"257","UKE1","UKL2",14
"258","UKE1","UKM2",24
"259","UKE1","UKM3",154
"260","UKE1","UKM6",12
"261","UKE1","UKN0",3
"262","UKE2","UKC1",373
"263","UKE2","UKC2",3
"264","UKE2","UKD1",14
"265","UKE2","UKD3",42
"266","UKE2","UKD4",150
"267","UKE2","UKD6",137
"268","UKE2","UKE1",3
"269","UKE2","UKE2",5713
"270","UKE2","UKE3",4
"271","UKE2","UKE4",208
"272","UKE2","UKF1",49
"273","UKE2","UKF2",40
"274","UKE2","UKF3",11
"275","UKE2","UKG1",4
"276","UKE2","UKG2",26
"277","UKE2","UKG3",29
"278","UKE2","UKH1",68
"279","UKE2","UKH2",13
"280","UKE2","UKH3",33
"281","UKE2","UKI1",1997
"282","UKE2","UKI2",11
"283","UKE2","UKJ1",59
"284","UKE2","UKJ2",344
"285","UKE2","UKJ3",25
"286","UKE2","UKJ4",3
"287","UKE2","UKK1",20
"288","UKE2","UKK2",39
"289","UKE2","UKK3",3
"290","UKE2","UKK4",19
"291","UKE2","UKL1",3
"292","UKE2","UKL2",10
"293","UKE2","UKM2",23
"294","UKE2","UKM3",7
"295","UKE2","UKM5",14
"296","UKE2","UKM6",328
"297","UKE2","UKN0",14
"298","UKE3","UKC1",71
"299","UKE3","UKC2",5
"300","UKE3","UKD1",1
"301","UKE3","UKD3",12
"302","UKE3","UKD4",25
"303","UKE3","UKD6",1
"304","UKE3","UKD7",6
"305","UKE3","UKE1",3
"306","UKE3","UKE2",47
"307","UKE3","UKE3",131172
"308","UKE3","UKE4",10
"309","UKE3","UKF1",649
"310","UKE3","UKF2",4
"311","UKE3","UKF3",26
"312","UKE3","UKG1",58
"313","UKE3","UKG2",6
"314","UKE3","UKG3",7359
"315","UKE3","UKH1",1502
"316","UKE3","UKH2",9
"317","UKE3","UKH3",35
"318","UKE3","UKI1",85
"319","UKE3","UKI2",14
"320","UKE3","UKJ1",25
"321","UKE3","UKJ2",4
"322","UKE3","UKJ3",99
"323","UKE3","UKJ4",17
"324","UKE3","UKK1",66
"325","UKE3","UKK2",14
"326","UKE3","UKK4",22
"327","UKE3","UKL1",169
"328","UKE3","UKL2",13
"329","UKE3","UKM2",38
"330","UKE3","UKM3",25
"331","UKE3","UKM6",3
"332","UKE3","UKN0",1
"333","UKE4","UKC1",2
"334","UKE4","UKC2",27
"335","UKE4","UKD1",3
"336","UKE4","UKD3",208
"337","UKE4","UKD4",12
"338","UKE4","UKD6",3
"339","UKE4","UKE1",68
"340","UKE4","UKE2",110
"341","UKE4","UKE3",4
"342","UKE4","UKE4",183888
"343","UKE4","UKF1",64
"344","UKE4","UKF2",8
"345","UKE4","UKG1",20
"346","UKE4","UKG2",35
"347","UKE4","UKG3",45
"348","UKE4","UKH1",2
"349","UKE4","UKH2",31
"350","UKE4","UKH3",71
"351","UKE4","UKI1",445
"352","UKE4","UKI2",231
"353","UKE4","UKJ1",101
"354","UKE4","UKJ2",34
"355","UKE4","UKJ3",44
"356","UKE4","UKJ4",306
"357","UKE4","UKK1",45
"358","UKE4","UKK2",10
"359","UKE4","UKK3",3
"360","UKE4","UKK4",417
"361","UKE4","UKL1",97
"362","UKE4","UKL2",55
"363","UKE4","UKM2",22
"364","UKE4","UKM3",75
"365","UKE4","UKM5",23
"366","UKE4","UKM6",8
"367","UKF1","UKC1",60
"368","UKF1","UKC2",15
"369","UKF1","UKD1",53
"370","UKF1","UKD3",28
"371","UKF1","UKD4",41
"372","UKF1","UKD6",48
"373","UKF1","UKE1",9
"374","UKF1","UKE2",16
"375","UKF1","UKE3",3450
"376","UKF1","UKE4",28
"377","UKF1","UKF1",48499
"378","UKF1","UKF2",92
"379","UKF1","UKF3",53
"380","UKF1","UKG1",20
"381","UKF1","UKG2",399
"382","UKF1","UKG3",129
"383","UKF1","UKH1",20
"384","UKF1","UKH2",1254
"385","UKF1","UKH3",73
"386","UKF1","UKI1",55
"387","UKF1","UKI2",10
"388","UKF1","UKJ1",204
"389","UKF1","UKJ2",90
"390","UKF1","UKJ3",195
"391","UKF1","UKJ4",130
"392","UKF1","UKK1",53
"393","UKF1","UKK2",102
"394","UKF1","UKK3",2
"395","UKF1","UKK4",25
"396","UKF1","UKL1",42
"397","UKF1","UKL2",58
"398","UKF1","UKM2",308
"399","UKF1","UKM3",17
"400","UKF1","UKM6",5
"401","UKF1","UKN0",5
"402","UKF2","UKC1",10
"403","UKF2","UKC2",9
"404","UKF2","UKD1",2
"405","UKF2","UKD3",191
"406","UKF2","UKD4",14
"407","UKF2","UKD6",26
"408","UKF2","UKD7",4
"409","UKF2","UKE1",24
"410","UKF2","UKE2",80
"411","UKF2","UKE3",16
"412","UKF2","UKE4",2
"413","UKF2","UKF1",195
"414","UKF2","UKF2",19876
"415","UKF2","UKF3",132
"416","UKF2","UKG1",286
"417","UKF2","UKG2",12
"418","UKF2","UKG3",321
"419","UKF2","UKH1",46
"420","UKF2","UKH2",854
"421","UKF2","UKH3",23
"422","UKF2","UKI1",536
"423","UKF2","UKI2",61
"424","UKF2","UKJ1",103
"425","UKF2","UKJ2",1932
"426","UKF2","UKJ3",57
"427","UKF2","UKJ4",13
"428","UKF2","UKK1",118
"429","UKF2","UKK2",18
"430","UKF2","UKK3",4
"431","UKF2","UKK4",15
"432","UKF2","UKL1",1
"433","UKF2","UKL2",26
"434","UKF2","UKM2",302
"435","UKF2","UKM3",5
"436","UKF2","UKM5",5
"437","UKF2","UKM6",2
"438","UKF3","UKC1",852
"439","UKF3","UKD1",8
"440","UKF3","UKD3",9
"441","UKF3","UKD4",88
"442","UKF3","UKD6",1
"443","UKF3","UKE1",7
"444","UKF3","UKE2",9
"445","UKF3","UKE3",57
"446","UKF3","UKF1",24
"447","UKF3","UKF2",12
"448","UKF3","UKF3",3129
"449","UKF3","UKG1",19
"450","UKF3","UKG2",7
"451","UKF3","UKH1",50
"452","UKF3","UKH2",55
"453","UKF3","UKH3",11
"454","UKF3","UKI1",21
"455","UKF3","UKI2",48
"456","UKF3","UKJ1",20
"457","UKF3","UKJ2",6
"458","UKF3","UKJ3",47
"459","UKF3","UKJ4",15
"460","UKF3","UKK1",12
"461","UKF3","UKK2",7
"462","UKF3","UKK3",1
"463","UKF3","UKK4",75
"464","UKF3","UKL1",2
"465","UKF3","UKL2",9
"466","UKF3","UKM2",17
"467","UKF3","UKM3",15
"468","UKG1","UKC1",2262
"469","UKG1","UKC2",5
"470","UKG1","UKD3",245
"471","UKG1","UKD4",358
"472","UKG1","UKD6",23
"473","UKG1","UKE1",4
"474","UKG1","UKE2",22
"475","UKG1","UKE3",30
"476","UKG1","UKE4",12
"477","UKG1","UKF1",47
"478","UKG1","UKF2",158
"479","UKG1","UKF3",4
"480","UKG1","UKG1",39031
"481","UKG1","UKG2",25
"482","UKG1","UKG3",185
"483","UKG1","UKH1",78
"484","UKG1","UKH2",166
"485","UKG1","UKH3",48
"486","UKG1","UKI1",124
"487","UKG1","UKI2",502
"488","UKG1","UKJ1",98
"489","UKG1","UKJ2",492
"490","UKG1","UKJ3",40
"491","UKG1","UKJ4",247
"492","UKG1","UKK1",29958
"493","UKG1","UKK2",47
"494","UKG1","UKK3",14
"495","UKG1","UKK4",117
"496","UKG1","UKL1",67
"497","UKG1","UKL2",67
"498","UKG1","UKM2",20
"499","UKG1","UKM3",148
"500","UKG1","UKM6",9
"501","UKG1","UKN0",97
"502","UKG2","UKC1",1599
"503","UKG2","UKC2",275
"504","UKG2","UKD1",2
"505","UKG2","UKD3",57
"506","UKG2","UKD4",141
"507","UKG2","UKD6",41
"508","UKG2","UKD7",6
"509","UKG2","UKE1",19
"510","UKG2","UKE2",13
"511","UKG2","UKE3",23
"512","UKG2","UKE4",10
"513","UKG2","UKF1",85
"514","UKG2","UKF2",66
"515","UKG2","UKF3",55
"516","UKG2","UKG1",27
"517","UKG2","UKG2",9765
"518","UKG2","UKG3",2478
"519","UKG2","UKH1",37
"520","UKG2","UKH2",29
