sector,variable,value
s15,2002,221.39612542872453
s14,2002,335.5701500022449
s13,2002,84.56340542384386
s12,2002,151.23147934391528
s11,2002,1.4092427662621483
s10,2002,42.113749954826915
s9,2002,140.49707166841094
s8,2002,96.4133525001827
s6,2002,24.818316052269527
s5,2002,42.68200104658714
s4,2002,1.9358602773360272
s3,2002,25.431940030754074
s2,2002,119.57177606470027
s1,2002,5.580895167806838
s15,2003,220.2877703040313
s14,2003,335.5219090466398
s13,2003,83.11100608313102
s12,2003,151.16800655992319
s11,2003,1.203452940307305
s10,2003,41.99962761662143
s9,2003,162.7555626584942
s8,2003,98.34058952924626
s6,2003,24.050424153494532
s5,2003,28.79330631135609
s4,2003,1.544907597927014
s3,2003,24.887141382703312
s2,2003,100.60977694421877
s1,2003,5.479831627867419
s15,2004,160.30597135020844
s14,2004,225.20859237981003
s13,2004,61.194627497042156
s12,2004,84.3107176731513
s11,2004,1.2267615117432105
s10,2004,25.897539540338588
s9,2004,120.22942759287311
s8,2004,63.70375804771972
s6,2004,15.40272114141752
s5,2004,41.08729955941341
s4,2004,0.7564416076164107
s3,2004,21.600624525684907
s2,2004,69.9719894565594
s1,2004,4.940872376422612
s15,2005,331.87451643318457
s14,2005,243.4067174697136
s13,2005,75.87165725418653
s12,2005,111.13105703430608
s11,2005,0.9287716878664277
s10,2005,27.758696574517206
s9,2005,107.2517228426654
s8,2005,57.617188042912574
s6,2005,12.592986967484721
s5,2005,37.23209383768923
s4,2005,0.582390349199114
s3,2005,20.740463147445407
s2,2005,94.27398635019517
s1,2005,5.19546384668883
s15,2006,295.4035149348114
s14,2006,297.1691819550539
s13,2006,74.99718504577353
s12,2006,93.78723338642598
s11,2006,1.0775110824769123
s10,2006,27.554925633308105
s9,2006,104.97849899316827
s8,2006,49.44571552411623
s6,2006,13.239607885467976
s5,2006,29.83619010514053
s4,2006,0.43144921484928905
s3,2006,19.842282226373147
s2,2006,117.69051950658644
s1,2006,4.929636022169713
s15,2007,330.71528267950873
s14,2007,435.20366198623765
s13,2007,81.81190470218453
s12,2007,87.83187104633475
s11,2007,0.9906973536363617
s10,2007,26.314786717465147
s9,2007,88.44286455685662
s8,2007,40.107733302569166
s6,2007,12.662382800539886
s5,2007,31.120352576614604
s4,2007,0.3481838487173096
s3,2007,15.338152873420736
s2,2007,96.43575469498933
s1,2007,4.311669273096044
s15,2008,248.72243627457217
s14,2008,283.83653769765925
s13,2008,50.70247900266405
s12,2008,60.54034807291336
s11,2008,0.6582174819132873
s10,2008,21.731847548725735
s9,2008,82.36516402571816
s8,2008,39.49534559859004
s6,2008,12.136849000688237
s5,2008,19.075555825441082
s4,2008,0.33290858747411683
s3,2008,13.826857583861203
s2,2008,80.17113521233102
s1,2008,4.67932132178636
s15,2009,146.859244545947
s14,2009,151.31824351835783
s13,2009,38.93015968467868
s12,2009,48.159709780067864
s11,2009,0.6927537742706139
s10,2009,18.54012739859629
s9,2009,74.9718193932857
s8,2009,29.99743555951926
s6,2009,6.687509928922181
s5,2009,11.329057668313826
s4,2009,0.4529023780032285
s3,2009,11.109481363303988
s2,2009,70.3156829838282
s1,2009,3.9314480373577103
s15,2010,351.2773939771228
s14,2010,511.23960133749625
s13,2010,77.05775816840703
s12,2010,139.56300825693435
s11,2010,1.1100481144560386
s10,2010,37.71664114608227
s9,2010,104.25749684630271
s8,2010,28.14273588823531
s6,2010,7.2268550177506485
s5,2010,9.35491931678689
s4,2010,0.24813946051093866
s3,2010,13.755911583873207
s2,2010,81.14308499331732
s1,2010,4.585191167707757
