sector,variable,value
s15,2002,130.03357049629483
s14,2002,229.35741752256567
s13,2002,59.44227678933327
s12,2002,49.06982664889243
s11,2002,1.0192763329944454
s10,2002,12.590725182073339
s9,2002,43.194488193548175
s8,2002,21.16694871381002
s6,2002,10.119384440930528
s5,2002,34.88451092181893
s4,2002,1.3411433153573498
s3,2002,11.379664816391603
s2,2002,46.40145916893568
s1,2002,2.8860934754262173
s15,2003,174.1643321031556
s14,2003,317.0850892890847
s13,2003,63.41164237309527
s12,2003,85.92267304421743
s11,2003,0.9865426949402452
s10,2003,12.826648614431386
s9,2003,39.90547823200298
s8,2003,27.25953218685238
s6,2003,11.604881695792294
s5,2003,21.435517748643388
s4,2003,1.158077663697654
s3,2003,13.867317566843331
s2,2003,48.43710331001889
s1,2003,4.082418136902925
s15,2004,83.72585960134569
s14,2004,191.40827885951586
s13,2004,44.2393453506132
s12,2004,52.02724874875229
s11,2004,1.222701358607477
s10,2004,16.669182470596187
s9,2004,46.64407885319128
s8,2004,26.766325162987076
s6,2004,8.848995711267627
s5,2004,35.07598493926532
s4,2004,0.5303875418800242
s3,2004,15.705545301590673
s2,2004,45.27842410879059
s1,2004,3.17377397962986
s15,2005,271.5925295502473
s14,2005,217.54612174316821
s13,2005,61.852596560228264
s12,2005,62.04166913600948
s11,2005,0.8661171258246612
s10,2005,18.576708816108336
s9,2005,51.07000330627022
s8,2005,33.73967873775635
s6,2005,7.5218385497531335
s5,2005,34.833019430118206
s4,2005,0.48826729580911393
s3,2005,15.372482735295257
s2,2005,75.4095973696117
s1,2005,3.951940826091607
s15,2006,218.24678618685033
s14,2006,251.21720442121682
s13,2006,56.764964475518674
s12,2006,60.738289292488496
s11,2006,0.9726618059130352
s10,2006,17.025803973825138
s9,2006,39.45018691706559
s8,2006,29.709866229030084
s6,2006,8.899668292518577
s5,2006,21.759545702557308
s4,2006,0.3310298483708151
s3,2006,13.529223505251478
s2,2006,96.8444855374797
s1,2006,3.5715387670559964
s15,2007,265.7983205383735
s14,2007,364.9011323955779
s13,2007,64.55378708672207
s12,2007,58.04490949962787
s11,2007,0.8636729302248937
s10,2007,18.06618505747983
s9,2007,48.74065108611159
s8,2007,29.01756592129865
s6,2007,8.745333675757271
s5,2007,31.46089276691086
s4,2007,0.2890542129312921
s3,2007,12.912212692550268
s2,2007,75.59546519074765
s1,2007,3.943469157250037
s15,2008,201.1585315055035
s14,2008,261.2872863755804
s13,2008,47.85063843537618
s12,2008,41.382242417142415
s11,2008,0.6165086242968728
s10,2008,13.737880722825667
s9,2008,31.653424791902808
s8,2008,31.430620962675345
s6,2008,10.462027730005605
s5,2008,20.636591015723152
s4,2008,0.23592178184299084
s3,2008,9.225634765429442
s2,2008,61.60181845648676
s1,2008,3.538999618454705
s15,2009,136.24094945247765
s14,2009,145.89460659473139
s13,2009,39.70980155390349
s12,2009,40.71955442813542
s11,2009,0.6818541784646892
s10,2009,13.99267490639455
s9,2009,43.238010330934976
s8,2009,20.015157566949604
s6,2009,6.267724888617179
s5,2009,9.888553865754986
s4,2009,0.29529192151572464
s3,2009,8.920299983829775
s2,2009,58.61630798987423
s1,2009,2.8896064734567823
s15,2010,332.0474179402235
s14,2010,494.8760803266136
s13,2010,72.41322278529259
s12,2010,130.75594464396445
s11,2010,1.0751735628244725
s10,2010,34.68621925263604
s9,2010,76.26860049692834
s8,2010,20.77201048899349
s6,2010,5.5550671064401245
s5,2010,8.816033201357834
s4,2010,0.21819042681612114
s3,2010,11.382435251648971
s2,2010,66.93933339410347
s1,2010,4.200448414127546
