"","origin","destination","weight"
"1","UKC1","UKC1",3815
"2","UKC1","UKC2",55
"3","UKC1","UKD1",7
"4","UKC1","UKD3",8
"5","UKC1","UKD4",191
"6","UKC1","UKD6",16
"7","UKC1","UKD7",4
"8","UKC1","UKE1",3
"9","UKC1","UKE2",47
"10","UKC1","UKE3",11
"11","UKC1","UKE4",6
"12","UKC1","UKF1",15
"13","UKC1","UKF2",2987
"14","UKC1","UKF3",4
"15","UKC1","UKG1",25
"16","UKC1","UKG2",15
"17","UKC1","UKG3",227
"18","UKC1","UKH1",89
"19","UKC1","UKH2",8
"20","UKC1","UKH3",173
"21","UKC1","UKI1",123
"22","UKC1","UKI2",26
"23","UKC1","UKJ1",22
"24","UKC1","UKJ2",390
"25","UKC1","UKJ3",21
"26","UKC1","UKJ4",7
"27","UKC1","UKK1",53
"28","UKC1","UKK2",15
"29","UKC1","UKK3",15
"30","UKC1","UKK4",3
"31","UKC1","UKL1",13
"32","UKC1","UKM2",7
"33","UKC1","UKM3",1
"34","UKC1","UKM5",3
"35","UKC1","UKM6",4
"36","UKC1","UKN0",17
"37","UKC2","UKC1",122
"38","UKC2","UKC2",587
"39","UKC2","UKD1",8
"40","UKC2","UKD3",26
"41","UKC2","UKD6",1
"42","UKC2","UKE1",8
"43","UKC2","UKE2",51
"44","UKC2","UKE3",12
"45","UKC2","UKE4",37
"46","UKC2","UKF1",55
"47","UKC2","UKF2",13
"48","UKC2","UKF3",4
"49","UKC2","UKG1",4
"50","UKC2","UKG3",12
"51","UKC2","UKH1",21
"52","UKC2","UKH2",9
"53","UKC2","UKH3",4
"54","UKC2","UKI1",61
"55","UKC2","UKI2",27
"56","UKC2","UKJ1",477
"57","UKC2","UKJ2",15
"58","UKC2","UKJ3",5
"59","UKC2","UKJ4",4
"60","UKC2","UKK1",7
"61","UKC2","UKK2",3
"62","UKC2","UKK3",1
"63","UKC2","UKK4",3
"64","UKC2","UKL1",5
"65","UKC2","UKM2",122
"66","UKC2","UKM3",8
"67","UKC2","UKM5",1
"68","UKC2","UKN0",2
"69","UKD1","UKC1",10
"70","UKD1","UKC2",13
"71","UKD1","UKD1",870
"72","UKD1","UKD3",441
"73","UKD1","UKD4",16
"74","UKD1","UKD6",8
"75","UKD1","UKE2",21
"76","UKD1","UKE3",8
"77","UKD1","UKE4",1455
"78","UKD1","UKF1",19
"79","UKD1","UKF2",13
"80","UKD1","UKF3",5
"81","UKD1","UKG1",1
"82","UKD1","UKG2",15
"83","UKD1","UKG3",18
"84","UKD1","UKH1",8
"85","UKD1","UKH2",5
"86","UKD1","UKH3",2
"87","UKD1","UKI1",342
"88","UKD1","UKI2",31
"89","UKD1","UKJ1",25
"90","UKD1","UKJ2",13
"91","UKD1","UKJ3",6
"92","UKD1","UKJ4",146
"93","UKD1","UKK1",32
"94","UKD1","UKK2",241
"95","UKD1","UKK3",1
"96","UKD1","UKK4",4
"97","UKD1","UKL1",11
"98","UKD1","UKL2",6
"99","UKD1","UKM2",29
"100","UKD1","UKM3",1
"101","UKD1","UKM5",9
"102","UKD1","UKM6",8
"103","UKD3","UKC1",6
"104","UKD3","UKC2",33
"105","UKD3","UKD1",60
"106","UKD3","UKD3",22637
"107","UKD3","UKD4",367
"108","UKD3","UKD6",157
"109","UKD3","UKD7",19
"110","UKD3","UKE1",39
"111","UKD3","UKE2",41
"112","UKD3","UKE3",29
"113","UKD3","UKE4",23
"114","UKD3","UKF1",66
"115","UKD3","UKF2",78
"116","UKD3","UKF3",77
"117","UKD3","UKG1",418
"118","UKD3","UKG2",18
"119","UKD3","UKG3",92
"120","UKD3","UKH1",44
"121","UKD3","UKH2",36
"122","UKD3","UKH3",23
"123","UKD3","UKI1",2020
"124","UKD3","UKI2",223
"125","UKD3","UKJ1",299
"126","UKD3","UKJ2",299
"127","UKD3","UKJ3",336
"128","UKD3","UKJ4",225
"129","UKD3","UKK1",554
"130","UKD3","UKK2",70
"131","UKD3","UKK3",516
"132","UKD3","UKK4",50
"133","UKD3","UKL1",469
"134","UKD3","UKL2",19
"135","UKD3","UKM2",60
"136","UKD3","UKM3",116
"137","UKD3","UKM5",8
"138","UKD3","UKM6",7
"139","UKD3","UKN0",17
"140","UKD4","UKC1",3
"141","UKD4","UKC2",8
"142","UKD4","UKD1",27
"143","UKD4","UKD3",778
"144","UKD4","UKD4",1423
"145","UKD4","UKD6",12
"146","UKD4","UKD7",5
"147","UKD4","UKE1",4
"148","UKD4","UKE2",51
"149","UKD4","UKE3",31
"150","UKD4","UKE4",9
"151","UKD4","UKF1",44
"152","UKD4","UKF2",24
"153","UKD4","UKF3",5
"154","UKD4","UKG1",16
"155","UKD4","UKG2",15
"156","UKD4","UKG3",10
"157","UKD4","UKH1",34
"158","UKD4","UKH2",41
"159","UKD4","UKH3",8
"160","UKD4","UKI1",203
"161","UKD4","UKI2",298
"162","UKD4","UKJ1",182
"163","UKD4","UKJ2",66
"164","UKD4","UKJ3",94
"165","UKD4","UKJ4",49
"166","UKD4","UKK1",64
"167","UKD4","UKK2",10
"168","UKD4","UKK3",2
"169","UKD4","UKK4",7
"170","UKD4","UKL1",9
"171","UKD4","UKL2",1
"172","UKD4","UKM2",14
"173","UKD4","UKM3",16
"174","UKD4","UKM5",8
"175","UKD4","UKM6",7
"176","UKD4","UKN0",20
"177","UKD6","UKC1",6
"178","UKD6","UKC2",1
"179","UKD6","UKD1",8
"180","UKD6","UKD3",113
"181","UKD6","UKD4",33
"182","UKD6","UKD6",2222
"183","UKD6","UKD7",1
"184","UKD6","UKE1",1
"185","UKD6","UKE2",31
"186","UKD6","UKE3",4
"187","UKD6","UKE4",14
"188","UKD6","UKF1",22
"189","UKD6","UKF2",214
"190","UKD6","UKF3",362
"191","UKD6","UKG1",137
"192","UKD6","UKG2",230
"193","UKD6","UKG3",4
"194","UKD6","UKH1",61
"195","UKD6","UKH2",41
"196","UKD6","UKI1",106
"197","UKD6","UKI2",74
"198","UKD6","UKJ1",107
"199","UKD6","UKJ2",41
"200","UKD6","UKJ3",161
"201","UKD6","UKJ4",33
"202","UKD6","UKK1",33
"203","UKD6","UKK2",2
"204","UKD6","UKK4",7
"205","UKD6","UKL1",162
"206","UKD6","UKL2",142
"207","UKD6","UKM3",13
"208","UKD6","UKM6",5
"209","UKD6","UKN0",19
"210","UKD7","UKC2",12
"211","UKD7","UKD3",45
"212","UKD7","UKD4",52
"213","UKD7","UKD6",5
"214","UKD7","UKD7",674
"215","UKD7","UKE1",3
"216","UKD7","UKE4",1
"217","UKD7","UKF1",7
"218","UKD7","UKF2",2
"219","UKD7","UKG1",4
"220","UKD7","UKG2",3
"221","UKD7","UKG3",12
"222","UKD7","UKH1",1
"223","UKD7","UKI1",176
"224","UKD7","UKI2",20
"225","UKD7","UKJ1",4
"226","UKD7","UKJ2",4
"227","UKD7","UKJ3",2
"228","UKD7","UKK1",5
"229","UKD7","UKK2",2
"230","UKD7","UKK4",7
"231","UKD7","UKL2",2
"232","UKD7","UKM2",2
"233","UKD7","UKN0",2
"234","UKE1","UKC1",3
"235","UKE1","UKD1",5
"236","UKE1","UKD3",17
"237","UKE1","UKD4",24
"238","UKE1","UKD6",3
"239","UKE1","UKD7",2
"240","UKE1","UKE1",412
"241","UKE1","UKE2",16
"242","UKE1","UKE3",99
"243","UKE1","UKE4",3
"244","UKE1","UKF1",4
"245","UKE1","UKF2",2
"246","UKE1","UKF3",70
"247","UKE1","UKG1",19
"248","UKE1","UKG2",2
"249","UKE1","UKG3",2
"250","UKE1","UKH1",11
"251","UKE1","UKH2",11
"252","UKE1","UKH3",18
"253","UKE1","UKI1",95
"254","UKE1","UKI2",34
"255","UKE1","UKJ1",5
"256","UKE1","UKJ2",74
"257","UKE1","UKJ3",27
"258","UKE1","UKJ4",6
"259","UKE1","UKK1",12
"260","UKE1","UKK2",8
"261","UKE1","UKK3",1
"262","UKE1","UKK4",27
"263","UKE1","UKM2",60
"264","UKE1","UKM3",3
"265","UKE1","UKM6",4
"266","UKE1","UKN0",10
"267","UKE2","UKC1",47
"268","UKE2","UKC2",46
"269","UKE2","UKD1",14
"270","UKE2","UKD3",69
"271","UKE2","UKD4",15
"272","UKE2","UKD6",22
"273","UKE2","UKE1",3
"274","UKE2","UKE2",1044
"275","UKE2","UKE3",21
"276","UKE2","UKE4",569
"277","UKE2","UKF1",37
"278","UKE2","UKF2",14
"279","UKE2","UKG1",8
"280","UKE2","UKG2",2
"281","UKE2","UKG3",6
"282","UKE2","UKH1",18
"283","UKE2","UKH2",39
