"","origin","destination","weight"
"1","UKC1","UKC1",9916
"2","UKC1","UKC2",128
"3","UKC1","UKD1",55
"4","UKC1","UKD3",13
"5","UKC1","UKD4",95
"6","UKC1","UKD6",43
"7","UKC1","UKD7",5
"8","UKC1","UKE1",89
"9","UKC1","UKE2",254
"10","UKC1","UKE3",6
"11","UKC1","UKE4",14
"12","UKC1","UKF1",33
"13","UKC1","UKF2",104
"14","UKC1","UKF3",24
"15","UKC1","UKG1",89
"16","UKC1","UKG2",23
"17","UKC1","UKG3",7069
"18","UKC1","UKH1",135
"19","UKC1","UKH2",25
"20","UKC1","UKH3",28
"21","UKC1","UKI1",1536
"22","UKC1","UKI2",132
"23","UKC1","UKJ1",29
"24","UKC1","UKJ2",246
"25","UKC1","UKJ3",62
"26","UKC1","UKJ4",118
"27","UKC1","UKK1",160
"28","UKC1","UKK2",28
"29","UKC1","UKK3",16
"30","UKC1","UKK4",120
"31","UKC1","UKL1",24
"32","UKC1","UKL2",12
"33","UKC1","UKM2",46
"34","UKC1","UKM3",7
"35","UKC1","UKM5",9
"36","UKC1","UKM6",17
"37","UKC1","UKN0",17
"38","UKC2","UKC1",837
"39","UKC2","UKC2",3518
"40","UKC2","UKD1",64
"41","UKC2","UKD3",164
"42","UKC2","UKD4",57
"43","UKC2","UKD6",15
"44","UKC2","UKD7",7
"45","UKC2","UKE1",15
"46","UKC2","UKE2",129
"47","UKC2","UKE3",23
"48","UKC2","UKE4",16
"49","UKC2","UKF1",253
"50","UKC2","UKF2",23
"51","UKC2","UKF3",7
"52","UKC2","UKG1",61
"53","UKC2","UKG2",26
"54","UKC2","UKG3",97
"55","UKC2","UKH1",17
"56","UKC2","UKH2",63
"57","UKC2","UKH3",35
"58","UKC2","UKI1",1045
"59","UKC2","UKI2",79
"60","UKC2","UKJ1",130
"61","UKC2","UKJ2",135
"62","UKC2","UKJ3",38
"63","UKC2","UKJ4",88
"64","UKC2","UKK1",11
"65","UKC2","UKK2",241
"66","UKC2","UKK3",8
"67","UKC2","UKK4",86
"68","UKC2","UKL1",27
"69","UKC2","UKL2",5
"70","UKC2","UKM2",28
"71","UKC2","UKM3",43
"72","UKC2","UKM5",2
"73","UKC2","UKM6",18
"74","UKC2","UKN0",18
"75","UKD1","UKC1",3
"76","UKD1","UKC2",65
"77","UKD1","UKD1",2169
"78","UKD1","UKD3",530
"79","UKD1","UKD4",542
"80","UKD1","UKD6",219
"81","UKD1","UKD7",12
"82","UKD1","UKE2",28
"83","UKD1","UKE3",93
"84","UKD1","UKE4",4
"85","UKD1","UKF1",5308
"86","UKD1","UKF2",21
"87","UKD1","UKF3",41
"88","UKD1","UKG1",53
"89","UKD1","UKG2",20
"90","UKD1","UKG3",40
"91","UKD1","UKH1",143
"92","UKD1","UKH2",16
"93","UKD1","UKH3",109
"94","UKD1","UKI1",136
"95","UKD1","UKI2",114
"96","UKD1","UKJ1",79
"97","UKD1","UKJ2",24
"98","UKD1","UKJ3",53
"99","UKD1","UKJ4",70
"100","UKD1","UKK1",182
"101","UKD1","UKK2",39
"102","UKD1","UKK3",16
"103","UKD1","UKK4",2
"104","UKD1","UKL1",15
"105","UKD1","UKL2",3
"106","UKD1","UKM2",34
"107","UKD1","UKM3",11
"108","UKD1","UKM5",11
"109","UKD1","UKM6",18
"110","UKD3","UKC1",81
"111","UKD3","UKC2",388
"112","UKD3","UKD1",411
"113","UKD3","UKD3",44317
"114","UKD3","UKD4",3741
"115","UKD3","UKD6",416
"116","UKD3","UKD7",23
"117","UKD3","UKE1",36
"118","UKD3","UKE2",40
"119","UKD3","UKE3",612
"120","UKD3","UKE4",49
"121","UKD3","UKF1",599
"122","UKD3","UKF2",2083
"123","UKD3","UKF3",539
"124","UKD3","UKG1",348
"125","UKD3","UKG2",630
"126","UKD3","UKG3",2072
"127","UKD3","UKH1",625
"128","UKD3","UKH2",372
"129","UKD3","UKH3",354
"130","UKD3","UKI1",13098
"131","UKD3","UKI2",1396
"132","UKD3","UKJ1",928
"133","UKD3","UKJ2",876
"134","UKD3","UKJ3",301
"135","UKD3","UKJ4",338
"136","UKD3","UKK1",575
"137","UKD3","UKK2",438
"138","UKD3","UKK3",25
"139","UKD3","UKK4",2356
"140","UKD3","UKL1",89
"141","UKD3","UKL2",66
"142","UKD3","UKM2",61
"143","UKD3","UKM3",323
"144","UKD3","UKM5",16
"145","UKD3","UKM6",73
"146","UKD3","UKN0",19
"147","UKD4","UKC1",150
"148","UKD4","UKC2",44
"149","UKD4","UKD1",51
"150","UKD4","UKD3",1058
"151","UKD4","UKD4",1584
"152","UKD4","UKD6",50
"153","UKD4","UKD7",15
"154","UKD4","UKE1",17
"155","UKD4","UKE2",270
"156","UKD4","UKE3",139
"157","UKD4","UKE4",34
"158","UKD4","UKF1",234
"159","UKD4","UKF2",80
"160","UKD4","UKF3",120
"161","UKD4","UKG1",26
"162","UKD4","UKG2",23
"163","UKD4","UKG3",88
"164","UKD4","UKH1",38
"165","UKD4","UKH2",412
"166","UKD4","UKH3",43
"167","UKD4","UKI1",1449
"168","UKD4","UKI2",166
"169","UKD4","UKJ1",881
"170","UKD4","UKJ2",281
"171","UKD4","UKJ3",939
"172","UKD4","UKJ4",81
"173","UKD4","UKK1",31
"174","UKD4","UKK2",23
"175","UKD4","UKK3",42
"176","UKD4","UKK4",55
