"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKC1",2049699,658,107,320,71,89,85,100,1849,65,217,4547,120,33,56,125,172,249,152,5709,55981,417,1125,1902,325,91,619,274,58,713,67,654,398,1286,77,225,182
"UKC2",1416,5125012,390,641,47,157,16,4597,29,15,119,140,68,51,51,102,241,290,690,5613,5094,321,7059,4853,130,208,241,76,27,247,263,641,116,1139,7,362,202
"UKD1",38,120,93898656,1336,129,31,90,27,54,8,57,120,39,13,57,240,17,389,245,4208,38969,118,4600,1399,1074,100,74,62555,26,74,44,550,88,1259,62,78,21
"UKD3",1863,440,317,14715677,454,465,197,4890,71,1734,1448,1581,1362,546,4366,1366,968,3272,3529,18038,51484,3713,27872,9433,8214,565,9849,11325,79,5641,496,12739,7571,29529,47,593,317
"UKD4",128,165,427,2307,3743257,202,54,65,272,165,236,466,680,241,424,1047,530,998,801,5252,15244,895,3729,2382,33232,513,1179,438,231,298,992,2658,501,1106,15,363,827
"UKD6",221,98,211,632,150,5210010,5,233,228,35,304,140,358,133,300,323,209,554,243,3329,7989,2035,24609,6913,289,127,459,715,105,330,108,1369,189,2231,7,143,170
"UKD7",9,8,5,395,19,715,1216104,30,8,5,13,313,41,15,8,27,122,24,36,329,144313,1626,117,416,986,8,39,26,56,164,6,134,24,771,2,108,17
"UKE1",9,696,20,9653,36,91,6,2785927,337,96,3609,124,6566,50,79,74,323,235,58,9517,13482,1890,1234,5647,806,2,368,112,17814,309,27,2653,26,2420,18,20,129
"UKE2",592,606,9,450,1290,84,56,137,18334547,135,657,77,81,58,39,403,450,738,90,5669,4074,334,685,2304,169,42,480,2855,102,78,13,199,115,980,4,80,153
"UKE3",177,157,101,425,86,507,17,91,56,7292202,148,377,281,218,83,104,282,1100,431,7355,21733,276,732,1354,379,45,152,401,20,286,34,604,64,536,13,9,33
"UKE4",46,95,142,8616,2810,59,7,31978,12155,2616,22620260,175,95,48,591,438,230,13535,158,10826,14444,675,1160,2654,321,222,998,352,1111,5241,83,1317,99,3452,66,91,48
"UKF1",47,204,64,736,181,150,1,53,223,265,229,13313042,236,86,446,237,587,2218,833,8000,10956,873,3653,4473,571,265,877,1110,41,303,63,3313,212,8349,32,59,273
