"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKC1",1381353,522,312,97,140,60,30,83,186,39,1526,210,174,32,335,48,208,173,174,2000,2485,1093,1700,1665,289,200,986,65,215,329,56,212,533,20,1,229,291
"UKC2",209,1979682,54,64,150,46,12,77,21,22,4118,60,182,26,2808,46,301,121,159,1189,10064,501,6135,6127,226,151,119,169,360,685,26,291,451,52,1,942,474
"UKD1",212,130,2897633,510,95,32,25,100,37,1042,1390,2139,37,10,881,5,19,59,72,1121,7569,75,5413,2630,245,2469,72,289,96,222,7,28,167,43,9,4960,108
"UKD3",270,88,945,11374201,563,2508,29493,153,596,531,2947,881,255,45,1084,250,440,5113,1081,3077,25211,85179,4876,9684,972,3292,909,1016,777,1047,502,1064,283,287,163,1704,426
"UKD4",121,23,163,836,3432464,227,145,44,76,87,2554,204,219,36,981,106,216,450,431,1668,13385,490,898,5317,910,87,338,4490,206,2040,119,223,171,90,36,496,66
"UKD6",28,14022,1782,1808,59,8883786,1071,27,10,63,1322,123,28,38,178,6274,119,24098,102,1742,7708,1087,10280,3055,929,81,83,22,137,242,61,2192,2022,45,12,150,12
"UKD7",7,24,0,95,84,493,552658,2,5,3,23,46,32,6,55,0,59,24,26,50,14288,21462,201,668,21,22,41,12,1374,96,18,31,30,36,0,168,15
"UKE1",34,74,61,120,1384,44,50,1325976,158,87,1399,183,78,93,702,28,81,541,2567,2692,2305,317,958,3579,785,127,428,62,866,574,34,104,139,55,19,142,45
"UKE2",378,15,47,237,210,28,24,47,2933823,69,1237,418,128,28,383,66,112,362,266,803,2468,451,889,3300,277,118,77,65,383,703,21,52,117,6,25,827,6
"UKE3",37,4,26,70,428,97,1,30,36,75682401,1957,533,218,4,271,76,334,739,299,1212,2280,644,708,2087,251,106,7768,66,543,468,9,2025,34,148,3,71,122
