"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKE4",190,32,34,190,3353,30,497,102,308,152,8435486,139,329,3,1067,59,355,485,321,1280,13741,681,1255,3253,642,296,1776,105,498,815,82,7989,2469,29,66,273,207
"UKF1",1182,46,246,481,116,137,49,112,49,38,3147,73680295,332,48,1376,130,255,608,268,1159,21404,908,1112,7021,720,1368,832,93606,6675,849,44,685,188,94,65,532,239
"UKF2",2798,70,201,258,198,2057,352,92,172,70,3871,945,51640656,53,942,557,262,545,587,2733,16363,3569,2406,4275,715,1012,35221,207,450,1903,652,254,88,56,85,1189,392
"UKF3",24,77,26,26,100,6,13,166,27,545,743,102,33,1596172,778,86,66,185,102,425,1085,391,294,3605,249,53,81,29,137,884,32,167,261,310,40,182,84
"UKG1",254,747,480,901,590,448,1562,421,1806,1820,6225,1460,1514,136,4045999,521,44774,5639,6410,5006,47386,47419,11330,12812,2791,3622,5297,405,2473,1652,2442,1217,1024,621,439,2024,2886
"UKG2",237,20,18,128,151,25,20,29,7,6,2117,232,75,4,259,3530796,421,105,466,2195,6244,765,453,2986,172,104,412,183,154,461,100,133,146,90,0,219,685
"UKG3",320,68,146,1046,780,186,162,2262,181,259,4331,1100,808,25,4944,254,8085034,789,511,1973,18350,866,2805,80129,1043,673,6933,552,1032,758,232,3808,715,153,3,1831,497
"UKH1",434,107,226,503,354,129,104,752,72,216,8590,1650,414,1036,2862,197,483,9753632,3152,6376,17469,1393,2090,11141,919,393,940,391,1283,1903,145,612,4077,670,30,2676,2707
"UKH2",27,54,43,507,299,250,589,81,125,94,3572,968,547,58,1560,166,221,1055,10082986,3090,84686,7097,4019,7788,1653,299,1365,414,1251,899,135,1741,297,64,41,460,689
"UKH3",1034,63,314,1247,817,213,1763,238,456,215,3771,259,330,125,3793,41,911,1809,161435,37521040,31017,2196,2451,5114,1028,895,1267,225,1033,1336,624,503,406,203,94,404,634
"UKI1",1166,1572,2544,7576,4454,2205,1443,4128,1174,4671,15863,4986,21218,3436,138563,1647,8918,28690,10004,1191117,107575565,39321,51167,44498,14352,10495,70598,2363,10058,7952,2114,4354,4619,3330,1218,12636,53326
"UKI2",256,710,492,6581,2504,290,350,234,129,399,8960,1981,845,55,3341,595,505,3059,995,5168,38317,35440284,6991,14491,1372,645,1201,1147,1861,23421,427,10488,1244,160,41,56451,516
"UKJ1",144,82,221,1557,1089,382,74,322,422,247,4903,518,1273,223,1913,264,55970,1719,1149,7917,17134,4074,16493151,13167,1513,3102,1523,349,6068,5117,575,620,549,2157,88,3602,1839
"UKJ2",3223,159,626,1450,17845,300,307,720,596,262,6647,691,1472,89,2267,874,1208,5208,9255,5087,119476,3870,6624,21314617,8176,3605,3106,873,1801,3364,702,1009,727,177,161,1365,1841
"UKJ3",160,190,127,730,504,196,42,176,43,349,4142,431,245,148,1319,265,501,10158,555,4412,9465,3297,1783,7468,12309422,640,5648,415,481,1945,91,1348,252,137,51,557,272
"UKJ4",70,119,179,14938,967,273,112,192,17636,198,3538,2587,2432,59,1560,183,1358,574,533,3339,18168,3875,12323,8222,2026,7133582,1803,1144,1326,1179,236,1899,272,192,30,10040,1716
"UKK1",409,343,218,856,443,170,185,94,75,106,6577,469,569,79,2914,142,1233,2215,7437,3320,58902,3008,10160,10351,2235,537,32585807,866,2652,3370,357,377,2975,326,63,1032,6060
"UKK2",25,23,29,3271,129,20,21,72,136,69,2395,275,1043,20,675,115,933,164,3422,1416,15294,1036,889,6831,841,348,342,17799046,2892,1608,199,675,42861,103,7,568,80
"UKK3",362,243,141,734,627,373,948,1895,767,403,2440,548,672,89,7609,357,1068,2117,4334,2540,22110,2199,6341,8865,2108,1178,2939,706,4884130,1994,391,1385,1116,693,128,3856,795
"UKK4",68,70,148,224,230,356,42,138,35,117,3135,110,144,40,552,89,911,557,1103,2729,5665,753,1698,17162,427,794,846,298,1893,3019599,147,239,158,75,118,1103,458
"UKL1",30,33,65,341,179,158,28,104,39,133,1964,122,273,52,858,73,710,385,999,2423,12736,381,1015,4702,327,412,2227,251,366,543,6808149,1124,55,45,26,303,159
"UKL2",148,190,187,535,782,2627,166,268,543,5759,6613,659,464,71,2881,224,808,1290,706,1542,16078,2727,4411,7480,1231,647,1018,221,1697,1513,4096,3601945,295,471,172,2866,1943
"UKM2",836,405,7192,598,97,57,36,203,94,20,4402,149,397,37,618,56,196,701,657,4996,6696,739,1344,3797,3019,228,601,217,309,845,154,255,4155320,1141,84,3447,103
"UKM3",9,456,21,712,241,183,78,59,23,19,2529,187,330,48,532,60,86,251,1350,1335,20747,720,186362,3454,831,345,779,83,705,611,100,133,7694,7451083,51,388626,70
"UKM5",11,10,4,137,35,35,255,45,24,10,1214,18,661,5,114,17,16,118,47,892,1272,112,124,846,82,61,558,1200,65,433,17,104,104,25,2788048,104,38
"UKM6",94,247,584,1252,2311,313,103,792,230,265,1696,671,10272,179,2751,359,1002,1595,1166,10082,30124,2294,10135,10043,1303,8602,1639,646,4145,3012,524,2874,980,388751,232,25402568,1780
"UKN0",2040,1953,28,80,39,83,17,1973,26,51,4423,1540,2113,20,365,39,2017,108,171,2327,8900,2544,2275,4147,187,2055,190,46,2072,367,84,274,51,6193,16,18499,2346248
