"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKC1",4430110,11073,14,311,222,196,72,20,1583,779,2209,8791,366,25,1506,5307,205,716,250,116,26292,849,3335,632,270,195,310,134,37,109,3250,32,132601,248,101,18,4
"UKC2",1436,4953797,177,1887,192,21,4,72,534,4994,535,2386,398,174,83,934,306,805,396,238,29433,11390,3844,993,279,631,1938,51,97,234,35,100,469,6427,108,46,62
"UKD1",54,16,4905346,3390,476,26,91,73,500,442,550,461,206,11,996,103,77,236,4291,90,84118,1328,2155,272,322,96,1274,27,32,210,38,231,131,34,194,652,16
"UKD3",948,295,39,38400388,911,1630,138,95,2744,4282,300,5792,3652,33,589,939,6531,995,1934,1958,150266,5307,5908,1767,94579,390,2009,1448,49,611,853,159,1286,324,387,153,59
"UKD4",92,291,301,741,17286999,831,37,244,2385,252,1026,5422,398,21,365,305,170,4750,780,241,31312,6847,9145,5627,1418,503,1468,173,1784,376,77,122,581,207,309,35,31
"UKD6",1696,11,43,675,26646,9266323,249,15,1789,128,20694,2966,861,22,2504,10528,415,193,1471,875,21815,1106,1549,40301,887,634,823,603,21,216,51,93,490,559,126,16,295
"UKD7",4,5,3,695,30,37,3334401,0,431,1417,12,90,3,3,5,23,27,44,217,15,40517,308,4922,129,290,20,9,10,0,5,131,0,27,164,24,24,154
"UKE1",1403,3269,45,324,154,152,14,2734520,236,367,220,983,148,68,25,63,500,1890,188,120,8503,3798,1123,417,481,83,1039,27,14,313,18,408,70,17,68,11,2
"UKE2",288,1302,453,209,707,99,8,327,5585109,153,596,2666,227,24,254,183,219,1096,1393,282,7425,3230,7004,726,517,388,485,340,79,201,1826,41,142,747,211,72,48
"UKE3",44,164,57,1197,254,75745,70518,1127,11777,71154818,485,2596,2210,168,1949,225,177,2147,517,408,14085,3675,6524,46255,832,412,501,82,200,195,18829,47,76,42,200,34,2
"UKE4",826,6813,101,544,867,73,61,70,1542,512,17820551,1854,214,25,394,251,326,4654,2484,607,13366,2846,3447,879,29103,1278,1486,362,132,1447,133,269,659,70,211,1233,14
"UKF1",369,216,105,8676,893,150,73,158,653,1760,1019,13283555,1337,388,560,1625,263,3980,719,591,17866,6787,10976,716,319,1167,8504,2247,166,2008,323,1874,256,40,445,193,5
"UKF2",439,2000,406,2600,590,656,357,476,2022,220,1693,1499,19085216,734,1566,188,694,949,1613,560,31861,7542,20229,1380,1817,846,3506,450,337,462,1977,178,393,82,224,67,25
"UKF3",262,126,37,91,12,128,0,78,2537,74,83,574,119,8707696,38,911,439,1047,151,91,7746,520,2596,445,377,74,888,36,26,36,123,38,77,11,228,27,1
"UKG1",336,73,56,1275,194,110,78,131,1358,229,301,8721,778,82,15095068,414,2880,682,1232,3592,17623,4870,37643,2973,1108,379,3758,465,125,515,812,332,167,186,445,461,18
"UKG2",2943,11656,19,280,154,487,10,139,580,229,6577,2860,290,43,172,18968693,1124,310,186,146,30668,3703,9165,2140,560,2498,2976,194,330,706,105,1010,297,39,180,175,2159
"UKG3",1509,117,346,626,381,173,22,98,1974,430,2830,16711,1917,79,2402,597,26580242,5282,609,439,70404,4690,5953,13218,856,1086,6314,260,65,452,935,438,757,194,326,19,19
