"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKH1",207,2768,407,1901,850,147,13,1313,13640,2237,2721,2778,1660,376,718,585,2952,37155862,4862,2658,50334,13077,11504,4140,26101,2371,20001,553,471,669,1289,2070,1289,5778,504,134,60
"UKH2",80,209,22,605,338,1023,1880,97,1202,1410,15664,10496,3509,351,319,908,1394,3802,17474221,3933,80424,16505,7645,3610,2570,33441,4391,469,101,1391,144717,2305,2269,228,509,213,27
"UKH3",2063,135,641,519,204,37,8,315,378,1564,2300,1499,374,16,946,800,419,1924,1867,12236684,22924,6491,13186,3735,556,3860,1690,579,341,3531,203,177,394,283,3895,76,203
"UKI1",1979,10270,2955,14331,7346,3165,1491,1489,23221,7424,55809,52182,6310,7561,6844,7643,8634,71699,15275,48096,220996549,1698426,634386,20790,18998,135986,26357,6716,1889,9454,40186,2760,48960,15231,911,21302,4379
"UKI2",1717,261,523,9193,1942,468,321,2943,1824,121399,2025,4589,1735,203,897,10980,1327,2526,5268,118066,294919,43110115,51937,10782,5284,4982,1838,4687,2667,2199,977,6073,27537,548,908,648,150
"UKJ1",4659,1168,290,3827,1277,718,210,217,2620,1671,4291,2338,1733,423,1657,864,1278,4631,19844,4037,218198,20377,38254822,136753,11866,7128,6166,2500,417,2957,1011,1152,3238,4627,832,695,142
"UKJ2",2669,3152,343,1348,878,1961,3910,208,16956,724,15160,7057,1515,215,2460,2997,1332,6018,18189,1314,178371,24912,296127,39966358,14252,7869,6443,2018,92,1699,785,302,270419,1088,694,132,12
"UKJ3",178,3476,196,1031,672,430,2063,337,2004,470,1362,4862,979,274,664,762,125991,10020,2351,3639,92214,18010,18573,3954,29482808,1175,2235,1585,30,1066,443,394,1640,262,269,75,54
"UKJ4",194,97,72,15094,5943,228,24,163,240,140,579,1335,167,94,287,2556,4184,2603,917,366,54137,8806,12502,10894,941,25179882,6939,190,83,1775,461,332,404,125,1127,93,141
"UKK1",670,409,122,4874,1366,5720,18,421,969,252,840,2081,2072,267,2875,1884,2088,1659,1962,333,120359,6577,91803,3356,6874,988,48689304,1401,697,2203,428,193,1645,333,436,85,51
"UKK2",97,144,14083,1419,557,157,6,135,1028,3678,342,1435,863,22,510,353,264,1353,374,2499,20816,5862,13165,1068,3647,627,2049,20635756,69,2146,414,1779,529,441,216,144,229
"UKK3",119,32,56,79,21,26,55,44,5348,10383,495,193,10230,41,69,47,131,206,632,719,133799,2413,3222,324,209,451,2304,2401,8466410,1612,75,65,84,52,130,136,13
"UKK4",119,1065,168,1284,804,593,106,87,3914,510,1953,6121,994,35,824,852,654,864,1705,228,142120,4641,5419,3766,1662,647,13735,2613,381,41494350,270,404,550,473,732,492,34
"UKL1",821,105,75,830,405,170,41,49,1625,217,2317,1126,283,56,364,193,2260,513,783,258,38078,4900,4912,1193,390,1326,2276,298,49,936,8558607,2566,1674,121,245,75,52
"UKL2",317,61,279,1536,16156,93,66,275,567,160,568,2064,167,66,647,311,889,6318,591,88,97668,4798,6340,681,471,1230,717,2066,95,506,902,6242914,36791,99,111,62,19
"UKM2",5587,82,414,301,3639,106,45,41,360,1046,495,378,133,34,178,160,495,6658,2317,225,29310,6324,11721,1137,682,871,2844,490,36,1712,251,278,10429455,4518,291,2186,24
"UKM3",75,291,153,1457,94,48,6,164,123,7939,566,2280,228,8,95,191,311,733,1420,472,20078,4252,76976,938,569,199,1011,82,163,229,75,136,1547,18003015,360,27867,12
"UKM5",35,5,33,3,161,6,4,590,99,4,148,504,1,0,39,88,54,294,90,4163,2834,428,1231,205,68,29,72,137,4,105,20,9,83,145,1169480,160,2
"UKM6",36,12,178,77,83,147,13,16,250,203,991,104,371,18,104,341,147,220,283,143,7958,2612,2272,232,521,44,1302,178,31,153,61,41,475,27910,158,3068800,3
"UKN0",15,18,9,88,400,87,0,280,144,36,350,22,176,8,45,44,262,892,105,159,4541,2055,27510,613,137,176,198,526,59,82,329,40,44,68,132,3,2437253
