"","origin","destination","weight"
"1","UKC1","UKC1",1790141
"2","UKC1","UKC2",202
"3","UKC1","UKD1",314
"4","UKC1","UKD3",369
"5","UKC1","UKD4",415
"6","UKC1","UKD6",120
"7","UKC1","UKD7",22
"8","UKC1","UKE1",4765
"9","UKC1","UKE2",138
"10","UKC1","UKE3",46
"11","UKC1","UKE4",181
"12","UKC1","UKF1",676
"13","UKC1","UKF2",241
"14","UKC1","UKF3",519
"15","UKC1","UKG1",156
"16","UKC1","UKG2",69
"17","UKC1","UKG3",115
"18","UKC1","UKH1",728
"19","UKC1","UKH2",406
"20","UKC1","UKH3",3132
"21","UKC1","UKI1",8932
"22","UKC1","UKI2",2872
"23","UKC1","UKJ1",5152
"24","UKC1","UKJ2",2588
"25","UKC1","UKJ3",389
"26","UKC1","UKJ4",206
"27","UKC1","UKK1",551
"28","UKC1","UKK2",7475
"29","UKC1","UKK3",175
"30","UKC1","UKK4",106
"31","UKC1","UKL1",160
"32","UKC1","UKL2",30
"33","UKC1","UKM2",2218
"34","UKC1","UKM3",253
"35","UKC1","UKM5",1886
"36","UKC1","UKM6",174
"37","UKC1","UKN0",69
"38","UKC2","UKC1",2767
"39","UKC2","UKC2",12209458
"40","UKC2","UKD1",193
"41","UKC2","UKD3",2392
"42","UKC2","UKD4",186
"43","UKC2","UKD6",60
"44","UKC2","UKD7",65
"45","UKC2","UKE1",44
"46","UKC2","UKE2",48
"47","UKC2","UKE3",19
"48","UKC2","UKE4",235
"49","UKC2","UKF1",327
"50","UKC2","UKF2",226
"51","UKC2","UKF3",15
"52","UKC2","UKG1",117
"53","UKC2","UKG2",170
"54","UKC2","UKG3",46
"55","UKC2","UKH1",1651
"56","UKC2","UKH2",258
"57","UKC2","UKH3",6211
"58","UKC2","UKI1",4507
"59","UKC2","UKI2",429
"60","UKC2","UKJ1",3161
"61","UKC2","UKJ2",3692
"62","UKC2","UKJ3",1054
"63","UKC2","UKJ4",98
"64","UKC2","UKK1",5485
"65","UKC2","UKK2",2825
"66","UKC2","UKK3",30
"67","UKC2","UKK4",71
"68","UKC2","UKL1",167
"69","UKC2","UKL2",18
"70","UKC2","UKM2",291
"71","UKC2","UKM3",2237
"72","UKC2","UKM5",242
"73","UKC2","UKM6",8
"74","UKC2","UKN0",316
"75","UKD1","UKC1",182
"76","UKD1","UKC2",87
"77","UKD1","UKD1",1423718
