"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKC1",11986862,398,51,392,188,41,5,3,216,16,284,19,10066,2,765,66,55,257,90,126,23864,25384,992,144,71,91,292,7,15,67,993,13,39,7,1,3,11
"UKC2",2662,13530277,130,2250,27,5011,27,600,150,339,49,53,4495,15,218,536,414,4950,261,54,56136,3083,3515,3804,377,96,183,122,50,210,5603,1011,296,155,2,78,223
"UKD1",7,79,6899497,484,127,23,20,166,283,44,28,120,28738,54,99,29,81,354,246,196,9540,958,232,309,204,114,316,44,26,37,256,37,469,1139,123,45,19
"UKD3",57,5796,1850,21355378,1582,4523,94,78,875,276,325,1077,68252,314,340,8989,2684,59979,620,2216,27605,3608,3670,21379,1240,28628,340913,250,52,4008,1127,1878,3017,1403,17,35,54
"UKD4",266,22547,549,520,13583120,1977,48,39,87,190,363,1238,25818,385,125,483,290,2172,128,112,5751,1963,2843,1541,617,419,2695,210,74,41,272,97,1242,52,5,25,67
"UKD6",26,106941,1486,3018,385,23416276,50,23,150,101,86,38,296897,8,395,93,145,1262,301,269,58480,746,1924,376,461,419,349,138,14,43,56492,82,74,72,21,1,36
"UKD7",0,12,314,176,29,35,5729830,5,9,17,11,18,28783,3,2,15,16,219,37,20,1251,236,87,112,263,8,76,27,0,575,131,1619,34,239,0,23,2
"UKE1",3122,156,22,133,1759,50,5,4964043,624,92,129,1467,7921,245,90,64,46,1154,886,230,12281,8578,389,126,203,274,14896,27,5,147,483,46,107,82,1,272,22
"UKE2",49,121,242,330,465,285,18,171,6935503,2977,700,399,5564,8,381,84,58,1854,213,38,7200,182,931,120,104,2851,150,72,59,57,48,163,287,79,0,16,5
"UKE3",59,157,126,570,142,2394,7,112,543,8961680,101,540,4629,52,317,1051,177,1116,179,190,6409,795,286,406,91,137,328,95,45,45,1596,54,495,1010,17,20,56
"UKE4",172,310,186,252,71,321,54,281,810,726,15099904,109,47332,92,86,309,155,2105,271,258,18256,635,410,467,1469,97,202,314,33,3852,1173,63,165,198,0,34,21
"UKF1",205,3329,2950,1372,619,887,80,256,5024,779,324,17617603,10172,131,314,728,966,3492,2849,138,14585,2964,3961,2703,964,2704,1186,341,163,705,3451,133,1056,256,14,44,70
"UKF2",54,178,73,197,155,963,242,366,217,425,146,624,13865659,503,419,895,386,1749,665,238,13455,1200,3510,498,1609,562,390,848,20,114,1124,314,292,249,18,42,297
"UKF3",27,93,35,1199,22,399,78,467,25,366,60,219,3361,6955413,278,116,51,3689,32,52,2140,729,666,259,1236,110,248,262,4,34,39,50,12,34,0,12,8
"UKG1",72,70,1511,145,71,129,48,22,495,567,54,745,7186,74,35608117,335,1983,602,1104,98,11658,7243,991,83029,321,11844,442,90,23,94,1345,76,397,339,3,34,48
"UKG2",48,217,92,1553,70,4770,8,67,117,580,132,358,8140,99,861,12288958,481,8728,519,679,7368,20951,1857,905,913,566,370,167,54,1075,222,142,272,119,2,18,202
"UKG3",347,121,1002,1958,283,1384,477,36,150,1618,122,3698,17230,342,781,3832,20661402,2681,662,470,34874,1188,1019,175221,426,1327,1337,308,34,8506,1627,941,177,450,25,41,45
"UKH1",285,1815,178,15260,4039,5762,211,7755,485,1095,477,2619,21060,993,8540,3319,22292,63202663,4003,1268,45698,7411,11069,4157,5065,3628,3668,8578,1366,1644,2809,1345,3217,976,93,109,483
"UKH2",1819,1253,103,349,879,586,22,96,77,320,191,4298,12497,45,1172,886,713,5208,13290176,447,32009,6964,8114,1114,924,2757,663,2649,22,2023,2106,43,197,60,2,12,1040
"UKH3",32,161,7812,192,735,119,35,78,116,318,171,548,41857,57,1462,79,260,15086,87448,18686241,26200,13938,627,647,1018,1192,533,231,70,208,11189,54,354,112,23,16,6
"UKI1",2363,99034,654,22104,5753,17726,1048258,885,11432,6300,2722,4390,238854,58241,1500,1433,6604,91657,31611,1827,358450422,496877,63420,29684,17844,190193,65436,12668,646,1803,65376,1306,2898,4034,683,18163,768
"UKI2",1267,7104,570,989,1279,1523,1236,151,177,383,670,1193,60212,188,12935,1655,1159,5346,1714,685,67876,84410276,24219,22996,1226817,10861,13893,4409,80,2474,3398,119,304,897,27,447,344
"UKJ1",85,17283,53,885,424,677,87,926,513,1364,249,1013,131884,429,383,1724,1266,3085,4212,341,25838,14740,41449972,2526,1314,896,2868,2242,85,177,6261,1358,813,438,20,77,138
