"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKC1",155770,105,1,0,5,4,0,0,8,6,43,0,3,0,14,0,41,6,7,38,1057,21,53,24,10,2,120,7,4,7,0,0,54,22,62,1,0
"UKC2",351,5719956,3153,477,660,136,91,1205,1773,651,7283,1311,1047,206,872,268,2949,1398,1776,2277,23999,6376,4425,4216,1267,546,5312,1994,1529,1166,159,516,1476,9854,6767,1130,139
"UKD1",12,1567,24122,51,3,74,0,4,1,124,5,274,0,0,20,2,4,79,5,78,151,6291,16,1829,4,500,365,15,2,4,4,1302,806,103,384,197,2
"UKD3",0,194,69,207567,5,0,0,25,951,1,21,30,8,0,10,5,40,23,1,34,289,117,67,20,12,1,44,75,0,3,0,0,39,51,174,7,2
"UKD4",0,2739,32,10,832237,2,63,1642,15,25,159,292,38,2,19,0,172,38,13,15,2309,373,94,241,7,19,724,695,8,1387,20,4,79,83,203,2,7
"UKD6",3,72,3,21,6,64058,0,0,0,12,7,18,17,2,28,0,14,1,54,4,142,42,17,16,12,0,9,1,10,7,0,0,12,58,0,18,0
"UKD7",24,26,12,1,4,1,67309,8,0,2,6,4,2,0,1,0,0,49,2,4,4370,34,25,8,7,54,10,65,2,2,4,0,6,49,4,2,0
"UKE1",0,38,7,10,0,0,0,28509,2,0,101,0,2,4,1,0,8,3,1,14,46,12,2,125,0,0,13,0,0,1,2,2,29,12,20,0,2
"UKE2",1,813,5,0,4,0,0,0,85122,7,484,4,0,0,8,6,0,0,2,4,114,4,19,0,12,5,10,0,0,6,0,4,0,28,8,0,2
"UKE3",2,156,6,10,10,4,0,3,10,147231,143,346,7,3,1,2,11,13,3,29,118,24,35,122,5,5,29,6,6,6,0,1,13,68,14,6,1
"UKE4",62,972,65,78,39,20,8,40,144,94,633936,98,115,20,68,24,152,228,38,2086,842,188,101,457,273,82,519,164,46,81,8,2,106,244,158,16,54
"UKF1",8,484,22,31,30,1,0,18,5,22,86,1028960,18,2,19,4,43,84,540,86,835,257,202,329,12,37,165,12,2,38,196,4,25,158,357,22,4
"UKF2",9,278,9,22,6,0,1,2,4,6,25,54,123884,0,13,20,10,14,15,13,252,26,33,267,10,5,45,6,10,10,0,0,21,107,87,0,1
"UKF3",0,53,1,0,5,1,0,0,0,0,4,3,0,37275,0,0,1,0,2,2,38,24,40,24,0,0,7,3,10,0,3,0,3,79,46,0,2
"UKG1",8,117,26,9,12,1,0,36,9,2,27,0,1,2,166487,3,11,12,18,4,200,46,27,24,6,5,45,6,8,5,0,0,57,40,38,8,1
"UKG2",6,62,1,3,4,0,2,0,0,0,14,359,13,0,14,54097,29,7,5,6,120,10,35,44,11,4,61,11,0,0,0,102,36,11,164,0,0
"UKG3",1,551,1,9,3,0,1,6,9,5,43,5,2,4,24,111,249900,29,103,42,261,46,36,33,39,1,35,4,22,2,28,1,12,83,128,1,4
"UKH1",4,458,12,84,6,0,5,122,0,0,152,20,18,4,14,0,0,240109,18,61,1315,152,150,723,30,2,91,22,7,58,12,0,15,466,96,3,12
"UKH2",4,120,11,11,11,0,2,40,7,10,158,12,10,0,35,0,0,23,422261,164,541,50,57,51,20,3,53,90,0,3,0,0,26,42,450,0,8
"UKH3",13,703,51,21,31,13,4,42,24,108,169,22,47,2,43,6,70,308,41,334490,1732,117,101,415,233,17,563,18,2,43,5,2,153,203,83,12,3
"UKI1",378,11599,763,827,3244,530,156,713,345,866,1911,1155,1645,64,750,1144,1091,3116,1469,1397,18875707,4078,8715,12172,1166,812,2365,1157,494,1863,224,124,1608,4934,2400,1003,487
"UKI2",18,2562,212,93,136,3,4,175,37,29,471,350,126,11,84,162,192,183,1177,111,8659,1081756,2250,441,95,35,455,285,55,35,19,30,107,1610,528,64,24
"UKJ1",9,673,28,48,19,50,3,22,16,23,60,52,37,5,21,4,69,120,29,51,2581,381,542602,154,45,44,168,37,40,58,3787,12,60,155,240,92,28
"UKJ2",309,11138,340,363,378,107,101,257,256,168,1721,717,318,91,615,378,542,1741,567,1011,13269,2147,1595,5485866,670,226,1658,827,209,1211,1079,194,724,2352,2605,418,233
"UKJ3",4,341,24,11,14,0,6,4,0,0,24,12,27,0,2,2,8,18,5,50,5612,72,131,69,336348,0,99,65,68,16,4,0,40,172,74,0,6
"UKJ4",0,191,0,16,1,0,0,0,0,0,10,3,0,10,0,0,0,9,0,6,216,20,64,9,1,115591,15,98,0,2,0,2,2,14,234,0,0
"UKK1",32,1249,128,137,29,20,2,342,26,134,1153,63,60,10,49,8,132,104,66,480,2055,303,175,425,70,32,708302,154,42,87,7,4,178,413,220,22,10
"UKK2",18,803,15,22,50,4,12,148,7,11,65,23,30,8,24,36,19,101,15,47,631,125,94,255,51,12,505,920629,58,73,0,0,71,1305,164,139,16
"UKK3",0,448,8,52,20,4,4,38,2,6,76,22,16,0,52,10,16,14,16,25,545,132,188,44,32,0,34,8,171635,16,6,6,6,358,1368,2,0
"UKK4",4006,68175,4975,2021,19979,550,330,670,862,658,5626,3606,2001,341,947,3537,3580,2809,2891,2461,27392,12370,6040,4231,2832,762,14197,2669,2908,14379643,755,634,3295,1878,23792,660,1407
"UKL1",2,194,58,1,2,6,4,2,0,4,11,86,6,0,22,6,12,17,12,20,240,46,44,145,8,16,9,5,6,14,172315,72,9,100,108,14,6
"UKL2",4,89,1,0,1,0,0,4,0,0,33,6,1,0,4,114,2,12,7,8,103,18,32,12,4,0,1,1,0,2,2,155191,2,30,36,0,0
"UKM2",2,217,9,23,42,5,2,23,0,0,47,19,28,13,28,7,4,37,5,61,423,106,137,131,58,12,20,41,4,32,2,7,201844,490,248,14,2
"UKM3",2,138,3,2,7,3,0,70,4,2,5,21,6,433,11,8,6,9,22,4,328,30,25,15,16,62,44,6,2,8,1,8,274,86636,70,17307,0
"UKM5",36,4294,1508,166,84,46,22,86,14,42,486,320,250,38,156,30,110,200,154,258,5390,2432,1338,1326,290,78,584,162,2824,170,42,28,622,2326,1092887,398,58
"UKM6",1,463,52,19,20,24,1,7,2,7,595,43,0,0,19,18,3,36,65,118,1984,162,226,50,87,0,112,2,6,4,0,22,39,17421,44,528839,12
"UKN0",0,13,4,8,0,0,4,0,4,2,8,4,4,0,0,4,4,8,3,0,80,28,25,2410,4,5,6,0,2,2,4,4,2,116,46,0,58263
