"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKC1",2348728,3236,39,214,6363,69,32,9,252,83,113,238,67,74,152,1018,196,231,339,184,28491,908,608,333,390,238,638,50,24,84,255,97,215,51,1,34,21
"UKC2",325,8151417,324,727,70,1322,2,2,667,25600,656,507,1249,95,55,483,1151,822,2035,333,62052,4738,2373,2669,1064,104,738,64,11,634,560,40,259,742,1,26,4
"UKD1",10,358,4296341,21092,303,34,1,30,611,8,59,77,77,513,183,26,57,160,94,382,38604,649,4276,469,1372,175,383,73,14,35,27,46,816,5771,23,68,16
"UKD3",638,3421,182,24951403,40289,805,20,569,212,349,7014,1369,730,3770,419,587,4049,1277,713,178195,102940,5554,3022,2967,4241,1154,5204,620,82,451,259,271,1132,365,3266,128,93
"UKD4",493,57,163,2266,10569563,1037,33,69,911,582,716,437,521,1851,214,105,292,3470,330,2629,13265,5204,20841,4157,1198,380,766,347,30,181,154,3103,779,173,31,59,59
"UKD6",18,106,35,1282,139,5611832,4293,8,143,275,46,186,247,224,60,236,176,242,2431,104,20002,682,895,1776,299,99,567,1342,8,142,899,390,246,136,6,7,28
"UKD7",7,5,0,88,34,421,1103772,0,3,0,30,422,2481,1,3,18,41,30,13,24,484,156,433,99,1287,58,25,8,0,8,4,19,96,2,0,0,0
"UKE1",221,15,6,56,340,33,0,3377266,57,65,34,2351,2202,210,94,20,25,75,30,177,3747,617,1180,132,2342,115,279,94,239,9,42,60,91,207,21,13,3
"UKE2",455,711,59,288,2762,170,18,120,6320876,232,509,1896,169,1232,657,70,214,4578,86,943,22252,4469,6873,2301,18743,152,10484,1462,12,100,711,697,6615,186,31,361,54
"UKE3",96,181,7,123,621,36,6,80,79,5698765,175,4767,206,7169,124,19,7593,1812,802,94,8148,1149,1812,189,1839,3798,873,225,6,58,203,131,237,168,50,36,52
"UKE4",36,3634,9,3479,262,85,1,91,229,613,12687306,112,55,377,33,792,4337,1093,116,6873,12291,1798,637,294,7891,437,1892,91,34,420,310,308,315,141,69,15,17
"UKF1",70,71,80,801,1661,105,42,98,260,4241,124,16037967,817,3902,1362,804,1280,3165,1845,316,15598,1907,3139,2900,3775,980,6915,364,44,407,576,185,645,90,323,59,15
"UKF2",163,256,14,870,842,87,14,52,559,147,186,12503,56775210,438,4351,351,636,937,2199,585,16183,5519,5656,7663,15539,452,1619,78,86,131,98,126,1132,96,32,101,21
"UKF3",922,2592,504,923,5251,528,1396,257,499,1691,2336,10102,4906,89088928,1324,1359,755,5315,1890,2447,13354,16312,2605,3325,6600,6555,3124,1297,136,1434,734,527,4516,388,379,273,1380
"UKG1",2673,111,94,982,1502,108,22,9871,10686,84,167,1150,6129,1087,28764965,227,1880,758,1326,776,10888,3871,4474,11126,2712,771,32372,258,168,237,853,5736,530,335,30,6539,439772
"UKG2",1625,304,24,255,589,2597,7,59,74,968,278,543,215,2622,110,7577256,2951,1137,895,327,87852,3288,1791,2814,1033,1054,874,187,32,106,162,170,192,1413,159,56,19
"UKG3",11158,3437,23,4650,3053,327,10,54,217,553,3623,183,3976,8530,1513,875,13997961,1256,1155,7686,63958,19299,2550,1544,3714,1387,1169,187,65,79,75,91,1115,101,6,11,20
"UKH1",117,185,50,1620,319,150,199,124,1517,1227,202,870,3137,4861,1169,235,475,32167893,97277,955,50519,12260,5875,3169,3386,471,8418,982,638,436,565,698,527,563,38,163,22
"UKH2",86,607,29,984,266,112,0,487,897,147,177,1502,2676,238,10140,169,353,4153,17843998,218,11882,6168,14635,4409,2731,135,1923,422,17,109,645,14876,5246,91,17,62,20
"UKH3",99,7332,14,7682,7064,54,20,7,2290,116,7030,565,176,17806,202,243,8182,2466,300,7843258,45315,9120,4779,7139,1531,791,1357,66,72,19,109,51,336,210,25,152,23
"UKI1",1027,6403,469,14854,2267,3022,140,716,42646,6221,19072,25213,6625,4720,3199,6937,16403,28767,10134,15501,95179646,151049,86618,14380,36129,11540,24621,1925,445,1513,5668,1229,19689,4469,433,865,123027
"UKI2",1017,285,107,3703,5089,17388,227,1092,1542,815,789,13763,2361,25030,689,421,1079,2656,1806,4156,1349515,53711639,77620,26381,10194,9599,11238,588,959,541,607,8830,1259,907,38,316,888
