"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKC1",1790141,202,314,369,415,120,22,4765,138,46,181,676,241,519,156,69,115,728,406,3132,8932,2872,5152,2588,389,206,551,7475,175,106,160,30,2218,253,1886,174,69
"UKC2",2767,12209458,193,2392,186,60,65,44,48,19,235,327,226,15,117,170,46,1651,258,6211,4507,429,3161,3692,1054,98,5485,2825,30,71,167,18,291,2237,242,8,316
"UKD1",182,87,1423718,1089,1804,57,21,7770,61,7,104,427,75,9,151,43,68,472,50,1626,13512,343,1969,1805,159,51,368,752,66,143,64,12,101,49,1652,7,61
"UKD3",470,3024,809,19390079,533,3519,404,189,3359,101,2112,595,236,67,344,135,429,3050,1196,5835,48757,3048,3196736,6875,499,284,1108,2981,31,385,1103,116,324,555,1294,80,569
"UKD4",189,139,95,1707,3619903,2822,26,66,138,98,219,209,355,98,230,276,341,928,5099,4675,5618,906,3570,8989,298,258,7287,2699,102,218,284,96,6519,89,6484,105,101
"UKD6",118,1399,108,300,269,1641682,40,6,50,45,112,115,1575,242,42,268,77,82,202,1700,5744,709,641,3181,125,37,831,364,40,1346,75,1019,189,35,215,148,6
"UKD7",5,48,6,61,40,16,894091,1,3,44,5,46,17,0,9,0,1,21,74,1853,301,39,596,214,1,0,1498,1235,8,1,11,0,4,0,10,36,28
"UKE1",106,1,50,126,4,13,0,7409384,105,14,98,133,19,50,4,5,8,55,152,3290,832,125,695,2581,47,22,115,89,6,27,4,0,2,6,70,0,0
"UKE2",439,34,59253,219,109,39,2,71,7238773,64,211,569,94,8,115,47,40,127,199,5859,188035,5862,2472,2147,747,28,212,459,12,451,33,10,3267,134,276,3,5174
"UKE3",25,13,35,468,477,27,8,102,99,1666920,1753,692,22,0,66,24,80,458,85,3041,45490,301,2294,2108,84,18,131,502,21,45,11,74,21,2,689,2,1
"UKE4",27,33,12,92,55,17,0,5,20,36,8055182,93,19,2,51,27,82,125,58,4890,5065,281,1592,3414,128,63,94,239,42,47,117,5,53,75,1119,6,0
"UKF1",621,49,63,901,1199,63,16,23,116,427,104,2438319,1590,71,124,139,129,485,250,4003,4731,21359,3464,4493,156,367,294,427,7,82,176,51,747,511,323,6,35
"UKF2",138,35,184,738,150,67,34,80,48,26,927,234,153545011,139,81,18,38,302412,305,3687,33306,569,3528,5918,570,77,311,403,33,43,235,8,106,41,108,51,31
"UKF3",260,76,164,212,106,24,10,51,8,25,496,188,62,1797461,10,18,74,74,256,1431,1916,153,767,2952,38,26,151,4348,23,59,50,1,30,14,90,8,12
"UKG1",69,28,73,568,422,128,16,114,54,2566,296,167,90,30,4993671,81,482,246,182,216674,45486,310,3437,2956,298,52,466,2330,22,75,638,173,98,97,732,59,31
"UKG2",194,28,26,313,174,276,24,5,61,23,236,171,97,30,62,4596070,497,2026,92,5162,2301,545,65398,35874,430,48,373,535,5,75,22,420,181,22,213,98,40
