"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKG3",178,93,204,1913,4194,101,616,78,32,211,2031,132,240,82,1151,411,6017363,842,1189,6419,28258,1533,4192,3692,421,128,868,2328,60,60,204,202,295,54,81,24,452
"UKH1",1058,249,170,2044,901,462,849,66,564,160,2952,598,465,110,606,189,2361,3208788,2333,33602,36459,2507,11019,7487,803,531,1271,2835,196,367,476,106,604,200,1488,690,465
"UKH2",720,79,34,965,153,86,25,27,66,22,242,416,756,111,59,74,363,439,8996923,6387,8470,784,3058,10575,223,205,382,1634,75,143,114,84,186,3439,9045,21,115
"UKH3",236,31,79,80230,793,57,16,25,57,3,628,128,108,24,42,268,93,204,226,7509984,10372,1301,5253,5413,116,146,3029,274,49,145,58,28,93,85,183,77,24
"UKI1",2236,3011,2134,16401,8887,2450,2211,1965,2271,2977,7857,46122,10962,863,2487,2440,5418,8676,6304,102651,91052669,60361,96576,28240,10854,2646,12615,17220,624,2973,4174,1565,3414,4886,84340,1181,8778
"UKI2",923,1210,225,2737,2320,472,76,39,3468,284,1654,798,1700,113,457,700,374,1627,1176,44401,74769,196237934,7036,8909,1398,321,2813,4423,92,1146,1831,235,980,614,2770,84,8229
"UKJ1",657,286,233,3831,1061,165,94,46,275,4643,3287,330,323,61,455,417,9550,1169,1826,8483,10090,1538,10880404,14722,1333,306,1528,807,87,205,130,90,1330,142,2395,121,123
"UKJ2",348,272,225,1010,2733,1920,59,81,42,263,1556,296,308,12,331,653,12214,532,771,9650,17485,2061,10162,10573771,2315,1402,942,655,132,301,190,296,1291,61,1221,37,1160
"UKJ3",474,51,96,4401,531,80,48,43,73,28,432,357,141,17,284,153,579,314,588,5496,11337,963,5768,6139,3617714,58,956,1010,23,105,9540,154,191,68,191,29,84
"UKJ4",171,111,57,988,185,58,31,36,73,52,354,119,107,25,1015,62,176,318,809,6943,4248,1701,2789,4445,689,1428034,430,721,24,169,131,51,153,76,363,70,54
"UKK1",441,206,175,709,1178,357,86,2149,370,167,774,826,323,309,214,106,687,11874,1122,11806,22057,1273,9258,6835,1027,261,18243619,965,66,895,71,213,475,86,6579,148,130
"UKK2",7354,1348,1140,2806,2176,835,97,328,699,287,1818,579,440,1860,522,497,731,1389,1449,5418,41082,3748,4818,10643,1234,1216,2347,8299487,172,636,449,715,1917,470,11418,314,2649
"UKK3",38,12,71,51,7,26,2,0,2,2,82,12,7,14,28,7,7,14,160,2662,1099,91,1267,1894,54,43,190,171,995462,69,383,2,17,3,45,0,34
"UKK4",37,35,25,73,130,60,7,35,195,25,717,67,55,20,235,36,180,86,1504,5711,1208,224,3825,4526,130,51,241,256,1146,3899379,27,317,99,13,52,58,30
"UKL1",114,79,231,756,105,162,6,39,106,169,226,132,95,72,2682,221,310,247,137,4690,2921,1381,4807,7367,390,88,317,592,23,396,4083376,555,1372,96,1158,59,504
"UKL2",17,69,41,362,116,18,33,0,79,6,57,10,55,17,6683,142,132,202,81,5518,8288,120,2103,2391,143,8,7645,118,2,25,161,1438002,114,10,53,4,2634
"UKM2",1872,280,131,771,383,376,35,68,505,196,1107,646,215,96,3874,225,832,324,407,4110,10787,1814,4867,13829,552,446,1207,2209,99,468,350,172,3340443,2040,930,545,2063
"UKM3",16,223,45,77,70,22434,12,21,39,10,139,137,842,1,29,21,406,156,28,3201,5661,4814,4928,2878,69,138,8725,884,4,166,1680,748,786,23987392,674,14210,10
"UKM5",6503,84,38,1160,1566,76,12,52,123,45,152,93,645,46,183,87,286,751,313,1345,14946,1203,2436,2278,252,100,649,905,38,188,276,46,1977,145,8819351,81,1502
"UKM6",43,37,22,181,80,155,2,100,11,29,72,31,104,7,37,70,360,38,91,7206,1651,11730,627,11570,151,38,418,354,56,84,39,12,260,14197,610,702880,23
"UKN0",45,6,22,1143,59,92,2,2,13,7,48,26,16,16,31,36,10,75,82,1358,27061,19940,4723,2628,55,30,1693,4855,2,13,44,7,56,18,38,66,961212
