"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKF1",141,218,1207,3098,1216,1893,1235,55,6549,213,1049,8929456,2265,278,461,2703,150,782,557,132,42406,9752,5954,1563,912,462,93595,370,46,835,750,1470,439,269,158,8,904
"UKF2",211,934,205,47190,1423,1569,24,633,1867,333,2853,7852,38696736,1015,1389,1269,1196,3950,2330,1743,33942,29289,27197,5559,2055,1340,3659,1341,1245,8439,1211,171,2759,382,85,63,523
"UKF3",4,471,356,206,245,37,51,354,39,33,147,3040,307,6838532,43,180,98,236,54,46,12997,961,2420,800,760,56,329,79,7,587,40,29,13,30,9,3,132
"UKG1",390,507,1496,1988,184,628,34,106,185,297,339,549,4415,1222,9153797,187,576,548,330,18990,49698,5946,2403,1924,459,1562,109361,247,210,150,1417,233,2046,46,40,26,547
"UKG2",45,331,1678,178,127,398,9,25,343,105,241,540,1225,210,725,5580775,1730,1143,332,1297,11434,4196,1948,1435,249,16960,1056,122,357,130,604,295,82,269,36,73,229
"UKG3",422,158,281,309,129,415,16,257,80,767,664,3838,4600,525,642,3236,46722735,1941,359,47,115193,3348,18461,503,1664,2435,568,138,35,676,337,6451,771,183,70,20,2357
"UKH1",80,2165,79,1571,1505,194,28,97,39,144,1095,429,1721,602,168,639,1145,13298188,1048,875,49119,7887,3069,1324,1231,1708,36373,515,88,1117,1260,57,565,333,77,41,212
"UKH2",18,527,70,1074,1426,132,4,72,62,112,1255,1282,1822,903,2176,1433,3636,1875,17113839,1734,35424,8259,3206,782,836,732,923,117,322,178,592,54,286,323,62,38,368
"UKH3",258,73,884,329,289,90,8,35,94,125,1960,1220,764,43,281,358,357,3135,980,19132247,13054,4874,1668,2649,407,1776,233,48,54,230,50,70,797,516,46,13,69
"UKI1",33746,6838,1190,7104,4011,12910,235,4201,1753,6610,7720,11843,36532,348,5234,4086,201728,7483,15778,4805,121889353,98057,31928,44441,25770,28404,120474,14939,1866,232663,30452,5982,4368,7659,284,299,12591
"UKI2",144,755,26221,10726,1729,453,102,15645,998,1882,1632,1083,4439,137,760,542,1169,3431,2627,2770,1050606,62822563,363374,9014,1293,4872,106261,302,521,811,6124,162,429,2487,192,77,1769
"UKJ1",126,2815,63,78745,1135,786,48,74,368,152,1704,464,2237,241,1477,289,969,5339,2372,850,95958,9679,32359498,5763,1636,1942,23100,1785,263,793,1402,290,216,755,254,41,1058
"UKJ2",798,741,415,3418,923,3319,128,186,197,1291,1368,5140,13428,14516,1635,1323,10113,2465,8244,26581,251340,11022,9346,27724795,4121,4918,5193,1342,4162,248,2264,213,499,893,151,40,1433
"UKJ3",2815,223,174,389,4460,353,46,36,232,1074,756,653,1368,379,413,269,443,3207,1307,319,50484,11149,7030,1238,24499720,4794,13084,477,415,215,730,21,134,384,191,19,1229
"UKJ4",66,619,170,108,85,224,22,53,290,4439,54,179,1655,156,1553,80,267,398,548,496,70879,6052,2833,2160,3438,9258437,1729,204,917,98,927,133,892,296,75,12,177
"UKK1",112,857,1418,6561,10433,466,37,2054,70,152,222,10805,3285,102,499,1086,1112,2621,780,253,300623,9062,5971,1869,1683,1239,25243201,1075,239,990,2930,260,1248,236,111,104,410
"UKK2",83,552,7458,492,197,183,12,99,119,111,132,272,2292,44,629,156,1991,1566,670,346,27223,2040,3365,1218,1469,434,1829,9933326,183,561,610,110,345,435,58,58,256
"UKK3",54,57,1265,216,28,564,31,26,72,405,278,38,699,167,438,60,1553,2100,604,68,3650356,3125,514,892,428,2204,795,259,4697975,2737,96,35,136,111,79,16,2734
"UKK4",12,120,116,169,920,177,16,28,67,153,353,810,1412,2844,145,151,279,458,295,87,25241,3609,2367,760,441,417,600,671,513,6171681,236,40,152,278,110,21,40
"UKL1",1503,103,140,668,395,208,14,115,108,268,372,248,20367,57,189,345,161,1586,293,163,22813,2191,3752,754,500,511,2195,503,45,2006,14762583,5359,489,744,42,9,634
"UKL2",10,54,55,48,56,1191,122,5,27,64,72,493,185,6,310,77,125,314,48,18,13809,880,1880,450,696,521,507,16,35,2264,528,7350657,131,25,33,9,61
"UKM2",373,1471,112,308,207,417,18,72,79,100,158,235,1507,14,361,149,413,1269,119,90,15297,2301,2015,901,711,1278,1423,67,141,121,6563,32,7225320,880,144,523,314
"UKM3",116,674,171,335,149,1148,13,19,828,103,422,203,1023,53,128,40,557,267,1591,2008,31403,2043,3819,351,2470,279,17827,2303,23,40,660,30,1013,6839536,107,9843,124
"UKM5",2,5,76,144,10,65,37,12,235,32,6,31,10,3,3,108,11,65,52,8,6314,272,619,86,22,77,17,73,8,14,7,4,109,42,816946,136,8
"UKM6",5,59,42,179,13,19,18,14,10,14,9,20,530,6,10,39,12,66,222,8,3509,540,572,133,172,50,52,17,17,307,13,18,274,9920,88,2695486,57
"UKN0",1,13,6,289,118,201,1,15,39,382,1163,181,98,20,164,36,80,113,215,185,22091,4400,1733,967,1745,81,2144,75,8,1136,94,38,48,37,48,387,3762608
