"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKC1",6267930,2416,363,54,38,143,19,89,69,19,223,315,1138,563,1976,1121,197,592,72,32,18509,791,818,139,107,17,169,20,12,184,13,8,10,59,30,5,88
"UKC2",849,4906006,912,135,279,174,13,32,79,161,146,129,576,59,131,182,236,1766,244,83,53251,2641,2322,550,294,319,624,36,305,719,97,1638,174,463,140,20,67
"UKD1",73,234,2442589,543,748,55,12,23,75,498,37,564,623,12,72,29,28,464,149,44,14484,9479,356,554,245,321,687,120,50,53,69,14,114,462,246,15,592
"UKD3",24,311,2868,22074391,11033,989,97,802,388,37002,802,895,1648,235,731,566,2379,4916,481,2289,73493,7490,4234,9135,2323,2090,12846,835,477,97,1765,261,252,444,917,15,654
"UKD4",28,2058,3783,490,8340826,184,22,54,181,124,676,1851,2251,115,195,1491,342,703,580,1437,18878,9092,1261,2077,2296,2929,2785,67,73,83,80,4921,2245,134,61,63,489
"UKD6",22,154,40,519,370,7355808,31,2013,50,22,1143,212,741,23,5073,939,123,1054,192,723,100189,2167,1483,3922,270,226,2791,34,48,380,28582,390,84,222,124,20,155
"UKD7",1,2106,11,141,9,601,4535697,8,9,0,0,37,95,2,318,1,513,83,1,23,23456,581,473,1172,333,27,129,5,5,97,6,147,52,1,26,6,5
"UKE1",35,345,35,81,46,13,4,2651291,1028,75,181,71,721,48,62,73,322,311,124,139,11455,2069,778,198,258,450,484,36,6,1180,13,40,38,54,41,12,1057
"UKE2",34,81,223,228,481,62,8,297,4750282,69,662,1469,10932,16,95,115,82,704,1074,163,17301,1505,1126,1011,257,61,1124,132,73,47,63,26,63,138,231,7,72
"UKE3",119,1208,62,390,745,177,9,110,1888,4632284,344,730,37983,77,201,178,436,1034,400,191,72905,4789,2434,581,1456,217,913,293,68,125,26,24,223,115,54,7,461
"UKE4",58,351,82,1357,414,82,22,13867,1958,192,12069688,218,712,23,169,41,75,1141,218,1129,34055,3739,1798,471,172,89,18746,49,173,94,68362,125,43,181,60,14,76
