"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKC1",229289,67,71,15,23,19,39,31,36,23,50,75,27,7,71,26,208,102,111,168,6037,1781,288,173,69,11,137,20,15,17,30,6,66,7,7,8,137
"UKC2",51,216023,31,13,5,1,35,12,20,2,102,28,389,6,8,15,18,93,69,267,402,94,807,36,48,9,30,17,1,134,6,4,27,7,9,4,36
"UKD1",64,30,799668,1249,28,24,8,38,394,52,1829,251,139,539,139,85,136,179,153,361,6112,581,1240,547,256,216,262,173,33,71,118,30,231,71,3,124,3094
"UKD3",13,14,308,1057503,92,734,19,139,120,22,71,85,117,24,124,92,42,54,98,211,4942,176,994,176,365,771,1209,87,256,60,319,25,62,107,16,23,278
"UKD4",2,5,47,495,240905,13,5342,8,61,8,36,66,29,2,31,12,6,61,13,66,1060,30,809,28,27,11,64,26,2,10,5,0,10,5,0,11,139
"UKD6",10,2,70,122,1,401541,66,8,37,13,2,105,20,12,5,457,8,6,17,123,315,31,299,23,43,11,10,6,0,14,12,19,17,5,6,5,77
"UKD7",20,4,13,21,9,3,65257,11,56,6,7,21,14,1,11,10,19,7,18,29,2088,44,154,46,15,1,20,8,5,6,9,2,22,7,4,0,202
"UKE1",8,1,11,1,17,0,2,167103,17,37,3,10,12,14,1,7,3,17,162,109,1502,29,269,26,12,0,22,1,0,7,60,3,8,4,0,1,7
"UKE2",3775,48,175,45,128,77,12,102,464958,27,126,247,98,18,88,57,55,96,128,247,3485,1081,1172,418,174,42,199,68,13,310,52,21,109,29,50,94,459
"UKE3",1,1,139,9,0,258,2,23,67,352626,60,60,57,4,21,18,2,37,55,251,1668,34,719,63,49,16,20,539,45,16,88,17,31,6,0,0,118
"UKE4",1330,8,259,69,7,12,1,52,44,23,454222,67,71,20,54,95,146,97,99,175,3965,404,1060,175,380,14,151,103,7,99,54,16,149,11,4,31,113
"UKF1",17,6,54,26,23,11,23,8,203,57,80,534867,48,13,18,35,54,63,52,223,2801,145,980,225,1262,165,113,42,5,293,23,11,106,20,7,18,135
"UKF2",15,6,58,31,35,11,1,64,62,8,70,46,543786,7,28,21,62,637,46,163,1218,152,684,1818,103,30,107,109,16,37,34,10,31,0,15,10,415
"UKF3",4,0,25,58,10,3,3,27,19,2,30,12,39,112413,21,14,27,16,24,75,666,38,282,95,31,78,50,66,3,19,404,3,303,9,1,0,114
"UKG1",12,13,75,225,10,18,54,130,1017,23,74,76,38,22,581618,40,57,85,78,337,1362,1050,629,265,78,20,77,83,44,42,116,11,65,13,3,7,323
"UKG2",7,2,155,9,2,12,14,31,73,6,30,111,24,12,28,373360,21,50,106,99,2298,82,732,55,3267,21,59,24,2,20,62,7,22,12,2,0,132
"UKG3",14,2,37,31,1,25,1,9,17,14,44,21,26,69,16,18,837705,18,83,203,8339,86,570,467,42,13,43,54,0,14,9,1,28,21,0,0,60
"UKH1",36,67,87,88,45,33,19,139,741,31,157,207,106,149,116,89,94,1584393,200,595,3672,293,1388,398,253,52,376,70,56,297,51,125,129,57,12,716,400
"UKH2",32,26,120,88,16,856,25,86,134,383,108,112,101,24,29,55,93,151,4012137,595,5484,296,1152,431,214,270,1025,153,6,56,19,34,107,54,8,56,242
"UKH3",8,14,230,168,9,15,15,73,81,22,80,196,62,6,21,50,57,195,120,2417559,2167,134,1036,153,106,385,139,227,4,62,50,24,107,15,10,20,286
"UKI1",11897,867,2920,2673,2821,813,233,4164,7582,1330,4891,7585,7036,564,3133,7191,3435,8893,11148,8980,99380614,20310,18880,21820,5387,3318,31386,5521,518,2700,2493,1642,27463,2867,245,2280,9890
"UKI2",121817,24,114,207,29,20,26,475,466,54,161,272,85,9,281,81,181,259,2544,842,510593,4066629,2255,554,335,122,2053,176,36,93,198,59,216,37,5,41,407
"UKJ1",162,28,232,529,92,73,31,98,414,103,215,122,191,28,106,218,126,241,223,784,10734,773,1459438,746,2220,311,372,407,40,95,872,14,211,26,5,35,904
"UKJ2",45,30,191,139,63,124,71,277,288,88,548,456,147,108,71,74,161,324,609,1149,16769,705,3740,2477149,1122,159,779,263,23,189,124,27,247,26,48,10,476
"UKJ3",187,27,296,577,24,23,15,52,273,45,112,134,83,54,8,100,64,138,108,320,2704,1920,1564,149,1503820,96,106,162,20,94,48,40,110,32,6,154,956
"UKJ4",10,3,44,34,1,5,14,14,22,5,22,252,24,2,21,60,38,38,55,306,1764,73,697,215,64,349362,107,35,7,43,7,9,23,1,2,13,75
"UKK1",272,6,260,213,39,48,6,241,160,111,1545,86,177,97,107,38,235,229,279,690,5488,1411,1741,1749,418,37,2954954,208,36,255,73,10,257,47,115,8,192
"UKK2",1302,119,145,56,6,75,6,45,89,9,166,200,38,134,70,30,72,138,106,299,4111,437,631,417,262,51,127,595069,11,153,97,93,230,33,6,12,726
"UKK3",0,2,37,12,0,1,0,4,17,2,15,447,5,30,15,10,1,0,3,195,533,24,187,28,37,10,24,48,152310,60,59,4,23,6,10,6,47
"UKK4",20,10,63,144,16,6,3,22,123,17,54,104,41,9,18,13,178,80,644,346,2121,165,588,299,250,15,491,75,64,912504,29,10,85,26,113,43,344
"UKL1",6,51,80,71,19,4,6,10,123,130,211,59,46,22,10,39,24,64,129,636,1761,309,1726,146,92,44,132,63,12,38,1155534,188,45,82,5,20,223
"UKL2",231,2,10,32,1,3,2,2,64,1,22,19,1,2,27,267,5,13,9,100,280,19,267,22,27,4,19,25,1,4,76,388765,10,0,0,0,37
"UKM2",31,83,115,36,335,4,17,83,64,14,62,98,299,11,47,9,38,69,123,241,30740,361,759,269,150,55,113,41,23,13,22,5,1104107,626,13,1434,578
"UKM3",2,2,16,191,6,6,13,8,75,2,11,93,9,7,39,2,3,22,21,180,672,36,461,45,62,52,39,21,4,8,12,16,148,326964,22,3623,46
"UKM5",1,0,17,10,3,1,0,12,6,0,29,9,5,0,4,0,25,4,6,132,417,24,141,26,5,3,30,4,2,4,43,8,23,4,122707,8,18
"UKM6",1,4,41,11,0,8,0,1,15,1,4,42,11,3,5,1,6,7,55,146,819,29,433,33,111,2,15,7,1,9,12,3,157,3606,14,673933,105
"UKN0",191,89,3729,293,140,147,158,197,995,235,924,682,314,87,257,240,370,459,1276,1053,16240,1867,2969,2004,749,314,1035,570,128,350,382,92,529,167,51,229,2495518
