"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKC1",854788,29,43,33,24,10,0,40,150,6,119,16,69,2,18,29,230,188,258,66,2893,582,1186,3282,64,49,473,48,12,61,35,36,685,385,40,5,369
"UKC2",158,898263,39,11,10,100,1,26,56,19,20,110,12,4,40,21,72,30,777,68,1535,648,1366,2303,41,59,82,54,1,30,11,4,117,32,2,13,81
"UKD1",4,33,408512,459,130,57,5,192,4409,3,4,2,4,2,56,10,21,37,799,44,2741,232,2521,1422,72,13,29,36,7,5,8,38,63,136,8,14,53
"UKD3",88,7,488,1549142,303,396,10,149,415,4,58,176,1972,176,177,81,636,285,2921,55,15440,1788,6660,4565,257,83,930,446,18,213,37,69,528,529,8,27,1262
"UKD4",39,56,229,186,2651954,13,6,74,27,1,55,24,204,89,16,13,30,146,2321,66,1222,376,3280,1354,68,310,50,373,15,21,8,259,154,14,6,7,190
"UKD6",4,16,191,108,14,2190721,7,25,4,3,94,82,9,8,9,14,64,71,4740,46,5961,343,3671,2350,39,123,47,1990,15,49,18,105,114,27,13,2,109
"UKD7",2,0,4,25,4,18,345003,16,3,0,4,20,10,3,0,4,6,10,17,11,155,82,553,276,8,14,3,0,7,8,8,0,12,2,0,0,36
"UKE1",21,6,4,40,15,3,0,362145,23,10,35,36,14,18,24,15,119,81,1320,41,1339,168,1133,1271,118,202,43,4,9,50,13,49,69,14,8,18,106
"UKE2",122,19,87,95,69,45,3,66,1595413,37,161,361,64,59,20,20,413,163,2004,148,5374,1683,2517,13359,244,72,198,44,70,102,87,57,716,70,68,14,174
"UKE3",0,1,6,26,5,340,0,41,32,866266,364,180,58,22,40,10,46,112,1903,22,99307,502,1793,775,74,17,34,68,68,113,8,18,134,13,7,4,139
"UKE4",126,18,255,199,338,63,8,66,2422,66,2622959,120,298,62,54,137,766,345,2917,242,5935,1223,5537,5677,385,102,225,1184,57,289,68,403,593,95,74,33,215
"UKF1",58,53,82,52,85,44,4,58,60,36,601,1709488,184,33,49,41,133,247,757,138,2575,1007,4539,3816,6317,112,114,41,84,130,70,20,323,36,7,19,167
"UKF2",18,25,61,56,102,44,18,71,50,33,171,409,3358408,37,112,34,192,176,3536,71,6505,1981,3919,2244,139,43,176,78,27,282,38,2584,255,68,6,31,1215
"UKF3",9,7,72,18,17,17,0,52,64,12,267,59,55,676695,31,6,66,70,2953,82,1349,645,1876,1390,67,34,58,39,9,58,28,29,412,55,18,5,761
"UKG1",125,55,114,254,114,80,17,66,89,58,118,369,190,73,1961767,146,394,452,2633,256,2981,2207,4171,2376,176,161,300,1228,30,129,207,136,929,120,17,71,698
"UKG2",32,27,19,60,17,17,2,8,17,40,62,66,53,62,41,960959,121,72,2026,124,2312,555,2708,972,93,152,180,76,32,96,15,27,1802,123,17,6,106
"UKG3",45,28,272,153,50,50,14,848,388,64,814,692,179,40,362,387,1180571,191,4091,225,6929,1110,4796,4880,271,65,292,1060,45,223,447,194,396,43,24,5,528
"UKH1",56,43,55,340,2109,28,20,575,169,22,136,205,241,285,313,97,213,18055322,7985,194,9694,1452,8747,9911,562,169,373,129,39,161,60,901,770,119,10,34,1790
"UKH2",46,40,129,248,783,41,6,194,68,13958,247,133,125,1112,201,57,256,350,9364913,719,19217,965,4725,15744,5150,58,227,210,31,141,35,95,521,69,23,51,489
"UKH3",218,1539,160,202,100,63,9,526,102,26,734,284,225,55,85,112,640,505,34953,8612004,21619,1811,5108,4442,2323,152,1176,2229,92,452,218,964,451,149,368,13,3827
"UKI1",1554,727,1397,4757,2578,977,930,4790,2029,810,5333,2419,9960,1996,1660,1568,8876,7512,31164,7968,53099353,29275,49282,21018,7768,4609,6677,4171,1123,3035,2874,4636,9472,2015,1894,2068,18146
"UKI2",393,265,935,1239,7674,316,38,1501,180851,587,5179,965,1429,355,861,489,6241,4952,57443,1846,34196,16848627,21888,199290,2248,651,1603,114793,1195,1266,366,862,8413,3392,156,587,5566
"UKJ1",127,312,663,2142,426,226,21,380,281,109,1113,419,721,150,538,486,2406,1300,8846,915,18443,6459,16901941,7191,535,558,808,15325,696,540,238,1391,2136,599,106,435,3155
"UKJ2",207,200,442,2574,324,2125,34,389,4260,125,784,812,422,250,226,205,4465,2010,5751,862,42934,13564,13215,5675955,936,804,646,955,177,484,227,605,7224,234,42,115,1023
"UKJ3",41,10,171,529,146,25,31,117,122,40,249,368,230,51,306,67,136,281,1567,964,4515,1615,6810,3758,2886696,100,162,92,12,82,61,94,389,127,21,20,5184
"UKJ4",29,23,55,33,198,15,3,102,21,27,194,250,35,10,130,51,218,167,704,85,1824,759,3638,3227,175,1227224,104,41,20,60,162,161,218,25,51,20,101
"UKK1",75,54,162,457,323,26,16,355,140,71,842,89,208,53,86,177,625,546,6724,303,12431,1672,8545,4116,293,146,4304837,968,39,1166,80,146,949,128,49,74,614
"UKK2",50,35,183,30,128,56,8,149,55,13,1403,369,248,66,287,27,394,275,21485,263,10413,2546,8610,4375,1049,61,314,2383888,71,304,37,293,659,36,39,21,208
"UKK3",108,5,99,18,7,81,2,3,80,3,13,3,25,1,60,143,17,54,127,63,509,217,1658,2021,65,31,76,23,729819,225,14,9,133,13,9,2,210
"UKK4",32,26,107,182,157,44,10,71,49,39,1556,122,129,50,220,67,293,247,973,264,104504,941,4925,5321,364,323,727,282,223,2823621,61,75,686,485,16,163,1491
"UKL1",20,20,59,43,51,20,14,57,26,10,1028,49,103,40,155,271,113,146,389,407,1888,3411,2719,2574,426,33,193,75,7,2972,1210497,254,162,63,1,18,278
"UKL2",276,4,538,85,25,58,11,9,34,22,150,90,845,27,111,82,108,116,2377,57,2835,1114,1971,1971,136,26,1288,20,23,77,552,949101,221,33,6,399,680
"UKM2",196,1877,533,452,601,178,66,266,330,173,952,742,609,349,275,283,2681,1435,16682,839,15177,7352,7820,7621,945,500,1909,607,111,931,392,474,3699160,45336,95,540,2756
"UKM3",19,1751,947,60,37,123,65,72,18,21,157,106,86,23,32,23,319,292,86321,104,14791,1673,3531,1578,117,629,1410,86,16,94,27,101,45217,1941730,11,86045,263
"UKM5",6,15,2,15,0,0,0,16,7,0,127,70,1,2,8,0,11,21,44,9,377,106,862,407,38,18,68,11,0,30,18,45,77,34,755031,71,18
"UKM6",6,8,56,10,6,10,0,9,73,9,74,19,6,3,18,50,130,228,597,62,1595,1004,1757,603,133,2239,20,68,16,199,25,231,584,85791,25,967370,93
